algorithm,config,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,seed,w_cost,w_emissions,w_reliability,w_social,objective_mean,objective_std,p_value_vs_baseline,significant_vs_baseline,better_than_baseline
ABC,abc_1,0.0068072584,0.8750000000,0.0000000000,27237683.9478766695,0.0959635158,0.1054840664,0.0895493938,0.1654689079,0.1083708426,0.0068072584,182549636,0.4629419498,0.2260170497,0.1706398286,0.1404011719,0.0954259800,0.0521976632,0.0000000026,True,True
ABC,abc_2,0.0192416655,0.8750000000,0.0000000000,24628226.1821225621,0.0969844367,0.1054840664,0.0895493938,0.1654829707,0.1168491776,0.0192416655,554584786,0.4629700753,0.2211145286,0.1234445020,0.1924708942,0.1143825344,0.0452649613,0.0000000295,True,True
ABC,abc_3,0.0155106069,0.8750000000,0.0000000000,26230915.5376466177,0.0972127641,0.1054840664,0.0895493938,0.1669514272,0.1170775049,0.0155106069,160688162,0.4629511031,0.2421488196,0.1719122300,0.1229878473,0.1187255499,0.0576532183,0.0000067643,True,True
ABC,abc_4,0.0354597619,1.0000000000,0.0000000000,0.1282440263,0.1012998152,0.1054840664,0.1039462972,0.1654719063,0.1117080701,0.0354597619,832736746,0.4629479465,0.1719165135,0.2314088230,0.1337267170,0.1163998201,0.0447225115,0.0000000438,True,True
ABC,abc_5,0.0390511504,1.0000000000,0.0000000000,10219653.8489605673,0.1150326912,0.1175247858,0.1176791732,0.1654742022,0.1071428571,0.0390511504,982738393,0.4629525383,0.1444507615,0.1928108500,0.1997858501,0.0946790104,0.0453250815,0.0000000001,True,True
ABC,abc_6,0.0324960585,1.0000000000,0.0000000000,361037.3125246073,0.1084775031,0.1109695977,0.1111239851,0.1654721255,0.1071428571,0.0324960585,166972919,0.4629483850,0.1575611377,0.2125230884,0.1669673889,0.1037746788,0.0438177483,0.0000000006,True,True
ABC,abc_7,0.0243397675,0.8750000000,0.0000000000,18562967.2219474427,0.1060264642,0.1130540547,0.0969646048,0.1706107387,0.1258912051,0.0243397675,449361501,0.4629176566,0.2495008891,0.1822210074,0.1053604470,0.1063766789,0.0451622690,0.0000000025,True,True
ABC,abc_8,0.0107791242,0.8750000000,0.0000000000,32794575.3938241564,0.0959635158,0.1054840664,0.0895493938,0.1661950495,0.1123460222,0.0107791242,308667200,0.4629492881,0.2406378793,0.1639620199,0.1324508127,0.0993311233,0.0534357838,0.0000000114,True,True
HC_SA_PSO,kiz_hc_1,0.0270727780,0.8750000000,0.0000000000,25855802.1501713172,0.1082074991,0.1152350895,0.0991456396,0.1779190951,0.1280722399,0.0270727780,151498306,0.4618137054,0.2652215532,0.1719663641,0.1009983773,0.1025805347,0.0416315344,0.0000000001,True,True
HC_SA_PSO,kiz_hc_2,0.0259495210,0.8750000000,0.0000000000,20272106.3169338740,0.1002757841,0.1073033746,0.0912139247,0.1653035267,0.1201405250,0.0259495210,107740945,0.4626111873,0.2146189025,0.1168618071,0.2059081031,0.1002124586,0.0411415899,0.0000000001,True,True
