seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
905535765,0.1360098377,1.0000000000,0.0000000000,0.3536983562,0.1405443339,0.1360098377,0.1685309552,0.1074806578,0.5552997045,0.1686886825
370459705,0.1932688954,1.0000000000,0.0000000000,0.8910594548,0.2002964859,0.1932688954,0.1685267480,0.1134669037,0.0000000010,0.7180063472
76343185,0.1897501660,1.0000000000,0.0000000000,0.5710354030,0.1942844133,0.1897501660,0.1685314530,0.0000000010,0.5135599265,0.3179086194
469555811,0.1054840664,1.0000000000,0.0000000000,0.3822372975,0.1029901893,0.1054840664,0.1685307899,0.4427127514,0.1621862965,0.2265701622
795679975,0.1922274539,1.0000000000,0.0000000000,0.3999325184,0.1992536370,0.1922274539,0.1685335017,0.1155458478,0.7159206495,0.0000000010
189471358,0.1078177506,1.0000000000,0.0000000000,0.5815199096,0.1078168851,0.1078177506,0.1685271549,0.2169265617,0.1158365873,0.4987096961
462940571,0.1657342776,1.0000000000,0.0000000000,0.4285980482,0.1657332734,0.1657342776,0.1685309643,0.2019876181,0.6294814164,0.0000000012
129921505,0.1116155215,1.0000000000,0.0000000000,0.3675438630,0.1161495030,0.1116155215,0.1685319846,0.1562692900,0.4807465654,0.1944521599
686478210,0.1332324867,1.0000000000,0.0000000000,0.4051518635,0.1332316211,0.1332324867,0.1685245687,0.6298263986,0.0650097014,0.1366393313
330196333,0.1054840664,1.0000000000,0.0000000000,0.4507934826,0.1029898219,0.1054840664,0.1685315247,0.3443426813,0.1568471166,0.3302786774
226909348,0.1054850578,1.0000000000,0.0000000000,0.4020305512,0.1039935622,0.1054850578,0.1685287044,0.5011486705,0.2068409416,0.1234816836
564499893,0.1897501660,1.0000000000,0.0000000000,0.6606083811,0.1942845917,0.1897501660,0.1685310963,0.0000000010,0.3956556531,0.4358132496
669813994,0.2103749913,1.0000000000,0.0000000000,0.4343628766,0.2128662892,0.2103749913,0.1685322803,0.8002487223,0.0000000010,0.0312189964
940306095,0.2500008354,1.0000000000,0.0000000000,0.5420255330,0.2570284259,0.2500008354,0.1685297708,0.0000000010,0.8314702272,0.0000000010
437151918,0.1112350069,1.0000000000,0.0000000000,0.3886467255,0.1112329404,0.1112350069,0.1685330889,0.5013236956,0.1089985426,0.2211446729
160688162,0.1577506195,1.0000000000,0.0000000000,0.4870942406,0.1622852498,0.1577506195,0.1685269907,0.0640027903,0.3573611532,0.4101090658
629764301,0.1054851924,1.0000000000,0.0000000000,0.4655062764,0.1029913666,0.1054851924,0.1685284352,0.1929273527,0.2741764249,0.3643677872
700265101,0.1054843104,1.0000000000,0.0000000000,0.3684928571,0.1081571353,0.1054843104,0.1685301991,0.1722558111,0.4482546394,0.2109593504
97226634,0.1657347464,1.0000000000,0.0000000000,0.6011126151,0.1657338808,0.1657347464,0.1685297497,0.3280847314,0.0000000010,0.5033855179
312366641,0.1054862961,1.0000000000,0.0000000000,0.5377671960,0.1029924704,0.1054862961,0.1685262277,0.1968962542,0.1829641214,0.4516133967
767843914,0.1175944000,1.0000000000,0.0000000000,0.4092583551,0.1175922445,0.1175944000,0.1685332669,0.5095980128,0.2255889639,0.0962797564
832259801,0.1363725225,1.0000000000,0.0000000000,0.4350066672,0.1363716569,0.1363725225,0.1685299757,0.4820574049,0.2906883967,0.0587242227
435216667,0.1054843280,1.0000000000,0.0000000000,0.4150427583,0.1029905023,0.1054843280,0.1685301638,0.2037493306,0.3589557847,0.2687647209
804764357,0.1628299412,1.0000000000,0.0000000000,0.7822711532,0.1698564554,0.1628299412,0.1685328396,0.0554949777,0.1188458964,0.6571262863
841691868,0.1856428703,1.0000000000,0.0000000000,0.8080183305,0.1901775006,0.1856428703,0.1685295104,0.0082157691,0.2115391015,0.6117156190
387478378,0.1054840664,1.0000000000,0.0000000000,0.3787590476,0.1044321823,0.1054840664,0.1685333451,0.1797025711,0.4743196407,0.1774444431
898087625,0.1054840664,1.0000000000,0.0000000000,0.5525483080,0.1029894706,0.1054840664,0.1685322272,0.2097572556,0.1561286639,0.4655818533
288328103,0.2093585098,1.0000000000,0.0000000000,0.4359267448,0.2118504272,0.2093585098,0.1685310414,0.7982169983,0.0087697459,0.0244822145
239557784,0.1054840664,1.0000000000,0.0000000000,0.4908185984,0.1029894648,0.1054840664,0.1685322388,0.2317800403,0.2099480673,0.3897396537
682495503,0.1054841375,1.0000000000,0.0000000000,0.4714615186,0.1029903117,0.1054841375,0.1685305449,0.2230483003,0.2382340642,0.3701870906
