seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
587644572,0.1098272251,1.0000000000,0.0000000000,0.4196960285,0.1097018829,0.1098272251,0.1687796403,0.4513380084,0.2680682453,0.1118141061
793483234,0.1062164720,1.0000000000,0.0000000000,0.4547758923,0.1037226462,0.1062164720,0.1670658760,0.3231378553,0.1750684819,0.3347277868
170592968,0.1391572458,1.0000000000,0.0000000000,0.3866314569,0.1436918761,0.1391572458,0.1680455664,0.1016709622,0.4528059587,0.2774775128
299992790,0.1138248110,1.0000000000,0.0000000000,0.3996003204,0.1138136392,0.1138248110,0.1685512995,0.1866205768,0.5410091894,0.1038189343
925120118,0.1054840664,1.0000000000,0.0000000000,0.3823518455,0.1019639306,0.1054840664,0.1705833073,0.2281603165,0.3717674011,0.2294889752
989683690,0.1183706971,1.0000000000,0.0000000000,0.4567515965,0.1182054146,0.1183706971,0.1688595208,0.4043177879,0.0947271622,0.3320955291
581061139,0.1488040173,1.0000000000,0.0000000000,0.7512162694,0.1558316078,0.1488040173,0.1670892569,0.1621693090,0.0416648431,0.6290765909
447038151,0.1054840664,1.0000000000,0.0000000000,0.4172550587,0.1028157321,0.1054840664,0.1688797041,0.3222214842,0.2133899899,0.2955088218
346869804,0.1136602981,1.0000000000,0.0000000000,0.3765289494,0.1181224499,0.1136602981,0.1686756440,0.1521797369,0.5242244825,0.1549201366
612451919,0.1498349312,1.0000000000,0.0000000000,0.5750553821,0.1495675586,0.1498349312,0.1690637010,0.3263575343,0.0317986941,0.4727800706
590915491,0.1542169100,1.0000000000,0.0000000000,0.5207122044,0.1586722551,0.1542169100,0.1686892576,0.0710665130,0.2778883112,0.4823559181
294753033,0.1056505275,1.0000000000,0.0000000000,0.3883470316,0.1031567017,0.1056505275,0.1681977650,0.4445647544,0.1437356530,0.2435018277
22803870,0.1657342777,1.0000000000,0.0000000000,0.3927513395,0.1654832488,0.1657342777,0.1690310139,0.6199236559,0.0000000009,0.2110453294
151498306,0.1663957108,1.0000000000,0.0000000000,0.4519453795,0.1663948452,0.1663957108,0.1672078207,0.4501795055,0.3826126726,0.0000000012
958559213,0.1054840664,1.0000000000,0.0000000000,0.3854862142,0.1029439859,0.1054840664,0.1686231967,0.4615331307,0.1931686287,0.1766750439
482303436,0.1217465967,1.0000000000,0.0000000000,0.4105978972,0.1217457311,0.1217465967,0.1685157656,0.2203850857,0.5231088643,0.0879902844
467107552,0.1130842355,1.0000000000,0.0000000000,0.3650596350,0.1176188658,0.1130842355,0.1682319158,0.1536306333,0.4511417918,0.2269956591
782735227,0.1183461543,1.0000000000,0.0000000000,0.5232931148,0.1183452888,0.1183461543,0.1685037579,0.3248017348,0.0948031768,0.4118913305
64956566,0.1054840664,1.0000000000,0.0000000000,0.5022299510,0.1029717895,0.1054840664,0.1685675893,0.1891241321,0.2293044038,0.4130038748
82729999,0.1657342777,1.0000000000,0.0000000000,0.4497948900,0.1655854560,0.1657342777,0.1688265994,0.5537525091,0.2774208905,0.0000000009
275847245,0.1443301446,1.0000000000,0.0000000000,0.4759503059,0.1487525290,0.1443301446,0.1687551788,0.0908400439,0.3116898244,0.4287149529
486658330,0.1088516212,1.0000000000,0.0000000000,0.4067797543,0.1087983851,0.1088516212,0.1686354280,0.2382249093,0.4793743487,0.1137653141
671124039,0.1507014699,1.0000000000,0.0000000000,0.7369274592,0.1501725838,0.1507014699,0.1695867280,0.1837794153,0.0300656166,0.6165682401
490706994,0.1054840664,1.0000000000,0.0000000000,0.4074872119,0.1024347598,0.1054840664,0.1696416488,0.2167703444,0.3546834539,0.2589045529
441168077,0.1297444659,1.0000000000,0.0000000000,0.3841634538,0.1367720564,0.1297444659,0.1682079439,0.1361653072,0.5909574882,0.1046692607
937826454,0.1631602677,1.0000000000,0.0000000000,0.4463310938,0.1630262000,0.1631602677,0.1687970913,0.5155249880,0.0051480209,0.3105298998
161018944,0.1420875347,1.0000000000,0.0000000000,0.4668635689,0.1466221650,0.1420875347,0.1683184026,0.0955375482,0.3435738672,0.3925701821
571728052,0.1120058383,1.0000000000,0.0000000000,0.4028716402,0.1107994505,0.1120058383,0.1709417315,0.2218386849,0.4997627038,0.1074568799
473489400,0.1562702749,1.0000000000,0.0000000000,0.4575689816,0.1605051945,0.1562702749,0.1691301084,0.0669597833,0.4026258127,0.3612842955
266975662,0.1055425926,1.0000000000,0.0000000000,0.5073380482,0.1030487668,0.1055425926,0.1684136348,0.2040949874,0.2130298722,0.4144615057
