seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
796817088,0.2106948217,1.0000000000,0.0000000000,0.3854521028,0.2177218312,0.2106948217,0.1685318491,0.0706362733,0.7528570378,0.0079748398
463007801,0.1054846740,1.0000000000,0.0000000000,0.4126826069,0.1029908482,0.1054846740,0.1685294719,0.3451849369,0.1959876422,0.2902979489
232640741,0.1493459253,1.0000000000,0.0000000000,0.4732291955,0.1538805556,0.1493459253,0.1685305567,0.0808086128,0.3181526645,0.4325081659
334244195,0.1054840768,1.0000000000,0.0000000000,0.3980946724,0.1029902510,0.1054840768,0.1685306664,0.3482115478,0.2513517923,0.2319059935
530769590,0.1510555165,1.0000000000,0.0000000000,0.4398560196,0.1555901469,0.1510555165,0.1685301308,0.0773898563,0.4018775950,0.3522024180
765147169,0.2172145537,1.0000000000,0.0000000000,0.4377397167,0.2197066483,0.2172145537,0.1685306761,0.8139294405,0.0000000010,0.0175398824
606015820,0.1054840664,1.0000000000,0.0000000000,0.3971548949,0.1029901439,0.1054840664,0.1685308807,0.3692428221,0.2287029294,0.2335233678
933223844,0.1657342777,1.0000000000,0.0000000000,0.6765387589,0.1657326204,0.1657342777,0.1685322705,0.2630871643,0.0000000010,0.5683805642
867738953,0.1499293500,1.0000000000,0.0000000000,0.4274732152,0.1499284844,0.1499293500,0.1685293585,0.2379940756,0.5618653809,0.0316111850
753353532,0.1488827284,1.0000000000,0.0000000000,0.4394721406,0.1488780996,0.1488827284,0.1685382134,0.3741782288,0.4235804582,0.0337030996
603107157,0.1054844464,1.0000000000,0.0000000000,0.4043321823,0.1078070746,0.1054844464,0.1685299270,0.1729562046,0.3936363061,0.2648775623
289855815,0.1186219087,1.0000000000,0.0000000000,0.5719367908,0.1186176578,0.1186219087,0.1685374578,0.2591778250,0.0942247390,0.4780599783
412571569,0.2378895796,1.0000000000,0.0000000000,0.4848401303,0.2449170780,0.2378895796,0.1685308712,0.0141602014,0.8072475314,0.0100613960
118894287,0.1900393251,1.0000000000,0.0000000000,1.0184505923,0.1970669156,0.1900393251,0.1685302489,0.0000000010,0.1199225436,0.7115472066
374184043,0.1897502926,1.0000000000,0.0000000000,0.6919645420,0.1942849229,0.1897502926,0.1685304339,0.0000000010,0.3282180410,0.5032515241
926472243,0.1054851052,1.0000000000,0.0000000000,0.4142339763,0.1029912795,0.1054851052,0.1685286095,0.2610596199,0.3127562615,0.2576555092
425882086,0.1834847990,1.0000000000,0.0000000000,0.4821423233,0.1880188094,0.1834847990,0.1685319268,0.0125307351,0.5454838184,0.2734535197
113728822,0.1755125229,1.0000000000,0.0000000000,0.5153769355,0.1800471532,0.1755125229,0.1685301770,0.0284757974,0.4431553058,0.3598387199
651931025,0.1054840664,1.0000000000,0.0000000000,0.4094623185,0.1029897803,0.1054840664,0.1685316077,0.3373611690,0.3535287068,0.1405785164
962614874,0.1054840664,1.0000000000,0.0000000000,0.3868167697,0.1029896052,0.1054840664,0.1685319580,0.4705600791,0.1367739525,0.2241340105
867490631,0.2293457715,1.0000000000,0.0000000000,0.5322022154,0.2363733619,0.2293457715,0.1685304703,0.0000000010,0.7901600993,0.0413094294
274076453,0.1114845180,1.0000000000,0.0000000000,0.5577384534,0.1160190096,0.1114845180,0.1685309644,0.1565312970,0.1857220601,0.4892156785
531016516,0.1563079984,1.0000000000,0.0000000000,0.4407664793,0.1563071328,0.1563079984,0.1685306836,0.3328569339,0.4797598194,0.0188525631
247839562,0.1699658203,1.0000000000,0.0000000000,0.4177959640,0.1769933967,0.1699658203,0.1685307152,0.1600691149,0.6714001688,0.0000000010
268691983,0.1071263091,1.0000000000,0.0000000000,0.4805156118,0.1116604640,0.1071263091,0.1685316379,0.1652477149,0.2700515822,0.3961690650
236662362,0.1054840664,1.0000000000,0.0000000000,0.5041336631,0.1029898683,0.1054840664,0.1685314319,0.2586189092,0.1732546745,0.3995949845
994581298,0.1586831348,1.0000000000,0.0000000000,0.5289796228,0.1586822692,0.1586831348,0.1685300492,0.4065067680,0.0141029247,0.4108602581
840856372,0.1054840664,1.0000000000,0.0000000000,0.3934773883,0.1029901986,0.1054840664,0.1685307711,0.3727926025,0.1944391312,0.2642374951
816568763,0.1213198151,1.0000000000,0.0000000000,0.4263728526,0.1213189495,0.1213198151,0.1685305722,0.4138853196,0.3287550672,0.0888290410
959143459,0.1242465599,1.0000000000,0.0000000000,0.4157246181,0.1287811902,0.1242465599,0.1685304337,0.1310074666,0.4062838455,0.2941782542
