seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
151539943,0.1055376854,1.0000000000,0.0000000000,0.4537595543,0.1030438596,0.1055376854,0.1684234491,0.1879008577,0.3265175460,0.3171581471
891677266,0.1055520653,1.0000000000,0.0000000000,0.4104447786,0.1030582395,0.1055520653,0.1683946893,0.2924225867,0.2895951352,0.2495875887
90928824,0.1234949196,1.0000000000,0.0000000000,0.4165044167,0.1233408617,0.1234949196,0.1688370717,0.6006935782,0.1459906329,0.0844787172
748608019,0.1180773312,1.0000000000,0.0000000000,0.4453544803,0.1179018980,0.1180773312,0.1688798222,0.4166182335,0.0953138940,0.3191880504
845642706,0.1563456082,1.0000000000,0.0000000000,0.3651961019,0.1585468237,0.1563456082,0.1731975167,0.0668091167,0.5019525527,0.2580408139
890792490,0.1410237497,1.0000000000,0.0000000000,0.4887776606,0.1410227089,0.1410237497,0.1685310375,0.4166497688,0.0494210569,0.3653981367
223417944,0.1572115195,1.0000000000,0.0000000000,0.6787590630,0.1559180670,0.1572115195,0.1711158608,0.2392534680,0.0170455174,0.5725851538
893446639,0.1370526201,1.0000000000,0.0000000000,0.3958465782,0.1369006260,0.1370526201,0.1688329441,0.5432150421,0.0573633162,0.2305886976
115980904,0.1058558905,1.0000000000,0.0000000000,0.4020754192,0.1058550249,0.1058558905,0.1683239901,0.4435626583,0.1199634724,0.2681498792
518858360,0.1057652804,1.0000000000,0.0000000000,0.5111784557,0.1032714546,0.1057652804,0.1679682591,0.2916924161,0.1387494995,0.4015898252
469545298,0.1054840664,1.0000000000,0.0000000000,0.4512742736,0.1025731206,0.1054840664,0.1693649272,0.2393830695,0.2460401187,0.3452118846
315929051,0.1054898348,1.0000000000,0.0000000000,0.3756054507,0.1029960091,0.1054898348,0.1685191502,0.1830242129,0.4562174211,0.1922392158
22114177,0.1506337005,1.0000000000,0.0000000000,0.3262929492,0.1551683308,0.1506337005,0.1685205584,0.0782430606,0.5350841666,0.2181522143
772012432,0.1055989357,1.0000000000,0.0000000000,0.3893531850,0.1031051099,0.1055989357,0.1683009486,0.2822506085,0.3276000308,0.2218484121
335583652,0.1054840664,1.0000000000,0.0000000000,0.4094168792,0.1027641935,0.1054840664,0.1689827813,0.3832236322,0.1634660708,0.2843275156
661661263,0.1054840664,1.0000000000,0.0000000000,0.5043176862,0.1028120260,0.1054840664,0.1688871164,0.1875522522,0.2272246341,0.4163359974
410219923,0.1057082797,1.0000000000,0.0000000000,0.4222896094,0.1032144539,0.1057082797,0.1680822605,0.3328692943,0.1982076573,0.3008407878
373657728,0.1395805697,1.0000000000,0.0000000000,0.5586961280,0.1389198286,0.1395805697,0.1698504381,0.3227901221,0.0523074170,0.4550520228
886295917,0.1057287002,1.0000000000,0.0000000000,0.3932167367,0.1032348744,0.1057287002,0.1680414195,0.2484250796,0.4102906529,0.1732428480
94466667,0.2484457746,1.0000000000,0.0000000000,0.5240505712,0.2554733651,0.2484457746,0.1674313731,0.0042085204,0.8283601056,0.0000000009
736617357,0.1120254270,1.0000000000,0.0000000000,0.4095074325,0.1110997599,0.1120254270,0.1703802901,0.2621793844,0.4600226231,0.1074177024
746789611,0.1076459456,1.0000000000,0.0000000000,0.3968541084,0.1051521199,0.1076459456,0.1642069286,0.3441363980,0.2850419627,0.2066147107
379991451,0.1320601418,1.0000000000,0.0000000000,0.4914853850,0.1365947721,0.1320601418,0.1658125582,0.1180981784,0.2905191472,0.4255701162
262460515,0.1055746640,1.0000000000,0.0000000000,0.4074262684,0.1030808382,0.1055746640,0.1683494920,0.2489263985,0.3314044309,0.2513196786
5307072,0.1054881218,1.0000000000,0.0000000000,0.4032196715,0.1029942960,0.1054881218,0.1685225763,0.3345879371,0.3344285559,0.1624609307
936813150,0.1140551025,1.0000000000,0.0000000000,0.5945667270,0.1181877407,0.1140551025,0.1693346713,0.1513901280,0.1506085388,0.5286666619
240970574,0.1210170262,1.0000000000,0.0000000000,0.4519258517,0.1210161606,0.1210170262,0.1671336407,0.4182728424,0.0908315503,0.3237619666
31911050,0.1054840664,1.0000000000,0.0000000000,0.4006337117,0.1026336148,0.1054840664,0.1692439389,0.2844219833,0.3910567672,0.1552773106
122757932,0.1120506853,1.0000000000,0.0000000000,0.4526662034,0.1120498197,0.1120506853,0.1683215113,0.3965003124,0.1075763615,0.3276018148
67642863,0.1060582494,1.0000000000,0.0000000000,0.5489003658,0.1035644236,0.1060582494,0.1673823211,0.1872911264,0.1797122029,0.4656143496
