seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
952511093,0.1208294925,1.0000000000,0.0000000000,0.4266950848,0.1253635952,0.1208294925,0.1685317422,0.1378413481,0.3901040913,0.3035228184
614379740,0.1583772274,1.0000000000,0.0000000000,0.4465913935,0.1583760429,0.1583772274,0.1685313248,0.5299377591,0.2868168144,0.0147141017
636219155,0.1054840664,1.0000000000,0.0000000000,0.4482753548,0.1029881735,0.1054840664,0.1685348215,0.2343299122,0.2766285989,0.3205066675
95095748,0.2147065404,1.0000000000,0.0000000000,0.9716746690,0.2217328031,0.2147065404,0.1685333426,0.0703438338,0.0002438420,0.7608789817
621871878,0.1055018348,1.0000000000,0.0000000000,0.4215413643,0.1030080090,0.1055018348,0.1684951504,0.3080164170,0.2589187815,0.2645696512
725715628,0.1183974065,1.0000000000,0.0000000000,0.6262058408,0.1183965409,0.1183974065,0.1685303740,0.1919571380,0.0946740564,0.5448384316
580791130,0.1054840664,1.0000000000,0.0000000000,0.3802039457,0.1029877712,0.1054840664,0.1685356259,0.4375109083,0.1972005971,0.1967528686
84493218,0.1438294000,1.0000000000,0.0000000000,0.6234533746,0.1438285345,0.1438294000,0.1685294664,0.2549209808,0.0438109769,0.5327385758
523227452,0.1547068633,1.0000000000,0.0000000000,0.4356599086,0.1546873314,0.1547068633,0.1685680197,0.2839345152,0.5254426353,0.0220548298
935939822,0.1054840664,1.0000000000,0.0000000000,0.4153373062,0.1029893731,0.1054840664,0.1685324221,0.3225430970,0.2360896100,0.2728348709
723416511,0.1054845186,1.0000000000,0.0000000000,0.4379371927,0.1029906928,0.1054845186,0.1685297827,0.2662677350,0.2574765181,0.3077259642
137407929,0.1054840664,1.0000000000,0.0000000000,0.3999636430,0.1029900322,0.1054840664,0.1685311041,0.3580810517,0.2179798135,0.2554080308
959938503,0.1657342777,1.0000000000,0.0000000000,0.7894648081,0.1657333353,0.1657342777,0.1685308406,0.1835056314,0.0000000010,0.6479635270
958880245,0.1199209759,1.0000000000,0.0000000000,0.5832960166,0.1244544596,0.1199209759,0.1685329803,0.1396583813,0.1697878587,0.5220207797
169395527,0.1657377037,1.0000000000,0.0000000000,0.4508269493,0.1657368381,0.1657377037,0.1685238351,0.4809138967,0.3505622672,0.0000000010
406717106,0.1054868025,1.0000000000,0.0000000000,0.4907524481,0.1029929768,0.1054868025,0.1685252149,0.3300795434,0.1263986043,0.3749966375
593682004,0.1769717752,1.0000000000,0.0000000000,0.4368522649,0.1794638698,0.1769717752,0.1685273482,0.7334438834,0.0817327619,0.0162960065
445186310,0.1417935809,1.0000000000,0.0000000000,0.4379759311,0.1417927153,0.1417935809,0.1685300768,0.4517125089,0.3318754094,0.0478820049
782624104,0.1054941329,1.0000000000,0.0000000000,0.3887460693,0.1030003072,0.1054941329,0.1685105541,0.2012774583,0.4717030271,0.1585089605
996659857,0.1800013274,1.0000000000,0.0000000000,0.5286880255,0.1845200414,0.1800013274,0.1685625197,0.0194976782,0.4619810246,0.3499587775
795114838,0.1692241634,1.0000000000,0.0000000000,0.7765898650,0.1737587937,0.1692241634,0.1685302300,0.0410524633,0.1487805472,0.6416367596
931371428,0.1848234589,1.0000000000,0.0000000000,0.4486573441,0.1893564916,0.1848234589,0.1685338823,0.0098534152,0.6063471270,0.2152655755
946027062,0.1055086145,1.0000000000,0.0000000000,0.5294518730,0.1030147887,0.1055086145,0.1684815910,0.2677888537,0.1370481731,0.4266813822
253383353,0.1054840664,1.0000000000,0.0000000000,0.4616161289,0.1070925496,0.1054840664,0.1685312053,0.1743839762,0.3175547453,0.3395300731
721856569,0.1054840664,1.0000000000,0.0000000000,0.3992203188,0.1062542914,0.1054840664,0.1685355725,0.1760561254,0.3972549105,0.2581533916
590075895,0.1653703980,1.0000000000,0.0000000000,0.4559656619,0.1653663039,0.1653703980,0.1685371439,0.5055561457,0.0007277605,0.3251789499
50146171,0.1143104769,1.0000000000,0.0000000000,0.6409576382,0.1213247674,0.1143104769,0.1685572869,0.1623532248,0.1090265781,0.5600629103
95049197,0.1174114569,1.0000000000,0.0000000000,0.5670233048,0.1174105913,0.1174114569,0.1684987213,0.2634799635,0.0966776082,0.4713437069
520547390,0.1557592873,1.0000000000,0.0000000000,0.7716637409,0.1610197006,0.1557592873,0.1685319978,0.1720652436,0.0199499819,0.6394527767
616165699,0.1920613060,1.0000000000,0.0000000000,1.0264346748,0.1990888965,0.1920613060,0.1685269703,0.0000000009,0.1158818603,0.7155911685
