algorithm,config,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,seed,w_cost,w_emissions,w_reliability,w_social,objective_mean,objective_std,p_value_vs_baseline,significant_vs_baseline,better_than_baseline
ABC,abc_1,0.1054840664,1.0000000000,0.0000000000,0.5407730484,0.1034599516,0.1054840664,0.1056283352,0.1220098358,0.1163088659,0.1651801338,822761613,0.1685524836,0.2669447554,0.1245251254,0.4399776356,0.1262221173,0.0283653817,0.0000000000,True,True
ABC,abc_2,0.1054840664,1.0000000000,0.0000000000,0.4182749359,0.1029868512,0.1054840664,0.1056358440,0.0741337225,0.1071428571,0.1472055557,759899441,0.1685374660,0.3193324044,0.2202773519,0.2918527777,0.1296059589,0.0329462643,0.0000000000,True,True
ABC,abc_3,0.1054840664,1.0000000000,0.0000000000,0.4507934826,0.1029898219,0.1054840664,0.1056388147,0.1058488402,0.1071428571,0.1490296176,330196333,0.1685315247,0.3443426813,0.1568471166,0.3302786774,0.1428876884,0.0419217500,0.0000000000,True,True
ABC,abc_4,0.1054840664,1.0000000000,0.0000000000,0.5488367119,0.1029886032,0.1054840664,0.1056375960,0.1165946489,0.1071428571,0.1540240165,705165378,0.1685339620,0.2276925520,0.1468558816,0.4569176043,0.1467386741,0.0387564730,0.0000000000,True,True
ABC,abc_5,0.1054840664,1.0000000000,0.0000000000,0.5032403269,0.1029900595,0.1054840664,0.1056390523,0.0951837646,0.1071428571,0.1472087640,794912616,0.1685310494,0.2538760531,0.1781772678,0.3994156296,0.1365779748,0.0374691827,0.0000000000,True,True
ABC,abc_6,0.1054840664,1.0000000000,0.0000000000,0.3909525052,0.1029900438,0.1054840664,0.1056390366,0.0995504602,0.1071428571,0.1472087483,301512089,0.1685310808,0.4017669079,0.2198948975,0.2098071138,0.1455801315,0.0432162147,0.0000000000,True,True
ABC,abc_7,0.1054840664,1.0000000000,0.0000000000,0.3775852623,0.1029896495,0.1054840664,0.1056386424,0.0980442544,0.1071428571,0.1551725327,961897664,0.1685318693,0.2066247049,0.4018976509,0.2229457749,0.1371409219,0.0347970350,0.0000000000,True,True
ABC,abc_8,0.1054840664,1.0000000000,0.0000000000,0.3969821051,0.1029897973,0.1054840664,0.1056387902,0.0990549638,0.1071428571,0.1472085019,188225171,0.1685315737,0.3831601714,0.2599521283,0.1883561265,0.1396896677,0.0379684943,0.0000000000,True,True
HC_SA_PSO,kiz_hc_1,0.1054840664,1.0000000000,0.0000000000,0.3823518455,0.1019639306,0.1054840664,0.1046129234,0.0840048485,0.1071428571,0.1461826351,925120118,0.1705833073,0.2281603165,0.3717674011,0.2294889752,0.1283572977,0.0222699373,0.0000000000,True,True
HC_SA_PSO,kiz_hc_2,0.1054840664,1.0000000000,0.0000000000,0.3836877222,0.1025158087,0.1054840664,0.1115173449,0.1378977763,0.1071428571,0.1640084276,331568997,0.1694795509,0.1880052337,0.4806570132,0.1618582023,0.1375179201,0.0378041441,0.0000000000,True,True
