seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
664313540,0.1465667026,1.0000000000,0.0000000000,0.4242608545,0.1465667026,0.1535942032,0.1825839572,0.3507596212,0.4423762717,0.0242801500
409186442,0.1483789612,1.0000000000,0.0000000000,0.3797439561,0.1483789612,0.1554065517,0.1825842303,0.6262133457,0.0206554530,0.1705469711
406386861,0.0959635873,1.0000000000,0.0000000000,0.4008275486,0.0959635873,0.1054840664,0.1825839937,0.2394907363,0.3122316723,0.2656935977
417958745,0.1872580714,1.0000000000,0.0000000000,0.8504042938,0.1872580714,0.1897501660,0.1825847913,0.0000000010,0.2027406777,0.6146745300
814020384,0.0959641390,1.0000000000,0.0000000000,0.3730552222,0.0959641390,0.1054840664,0.1825828905,0.3032137334,0.2928985250,0.2213048511
321215732,0.1371548486,1.0000000000,0.0000000000,0.4082148790,0.1371548486,0.1441824213,0.1825841013,0.5531285206,0.2211836643,0.0431037138
166972919,0.1587066872,1.0000000000,0.0000000000,0.4332822071,0.1587066872,0.1657342777,0.1825850017,0.6376971151,0.1797178822,0.0000000010
334291442,0.0959635158,1.0000000000,0.0000000000,0.3639994036,0.0959635158,0.1054840664,0.1825841678,0.2270342048,0.3664870484,0.2238945790
106142582,0.0959635158,1.0000000000,0.0000000000,0.3649366938,0.0959635158,0.1054840664,0.1825848249,0.4622497305,0.1679493565,0.1872160880
90047860,0.1836072018,1.0000000000,0.0000000000,0.4348456320,0.1836072018,0.1881418321,0.1825842502,0.7417304341,0.0746645559,0.0010207598
771552413,0.1872597772,1.0000000000,0.0000000000,0.8234167915,0.1872597772,0.1897501660,0.1825807254,0.0000000010,0.2191089809,0.5983102927
722359350,0.1702602555,1.0000000000,0.0000000000,0.3837880216,0.1702602555,0.1702592142,0.1825837856,0.1330331900,0.6579338863,0.0264491381
696770792,0.1223787430,1.0000000000,0.0000000000,0.5720156838,0.1223787430,0.1294063335,0.1825844253,0.2446709833,0.0726558893,0.5000887021
461877230,0.0959635158,1.0000000000,0.0000000000,0.3827808074,0.0959635158,0.1054840664,0.1825861926,0.3932857102,0.2491904842,0.1749376129
717058512,0.1872580714,1.0000000000,0.0000000000,0.7354394894,0.1872580714,0.1897501660,0.1825850953,0.0000000010,0.2745856227,0.5428292810
161271778,0.1448345730,1.0000000000,0.0000000000,0.3268273101,0.1448345730,0.1473266676,0.1825843062,0.0848469978,0.5743544110,0.1582142850
501044774,0.1085960248,1.0000000000,0.0000000000,0.3687259056,0.1085960248,0.1102147355,0.1825841345,0.1590708621,0.5346054251,0.1237395784
938051391,0.0959635158,1.0000000000,0.0000000000,0.3714626751,0.0959635158,0.1054840664,0.1825844433,0.3152996988,0.2878464182,0.2142694397
152312102,0.1009819803,1.0000000000,0.0000000000,0.5302614311,0.1009819803,0.1080095708,0.1825853752,0.2482113370,0.1154494148,0.4537538730
696320374,0.1415019334,1.0000000000,0.0000000000,0.3121016304,0.1415019334,0.1439940280,0.1825844888,0.0915122770,0.5090317602,0.2168714740
495625870,0.1872580714,1.0000000000,0.0000000000,0.4911291812,0.1872580714,0.1897501660,0.1825842809,0.0000000010,0.6657698692,0.1516458489
446156275,0.2079961578,1.0000000000,0.0000000000,0.4104223334,0.2079961578,0.2079952923,0.1825860215,0.0392303568,0.7334038064,0.0447798153
238766265,0.1007742762,1.0000000000,0.0000000000,0.5411702907,0.1007742762,0.1078018667,0.1825842030,0.2308658308,0.1158648230,0.4706851431
301512089,0.1257359878,1.0000000000,0.0000000000,0.4508564833,0.1257359878,0.1282280824,0.1825847643,0.1230441682,0.2950000617,0.3993710057
683700662,0.1025549459,1.0000000000,0.0000000000,0.3676354633,0.1025549459,0.1095825363,0.1825855012,0.5121764658,0.1123034837,0.1929345493
630282592,0.0959636120,1.0000000000,0.0000000000,0.4471412867,0.0959636120,0.1054840664,0.1825839445,0.2400396052,0.2168984481,0.3604780022
607196431,0.0977477176,1.0000000000,0.0000000000,0.5700469103,0.0977477176,0.1054840664,0.1825823762,0.1790224693,0.1277780105,0.5106171440
361812610,0.0959635158,1.0000000000,0.0000000000,0.3663766083,0.0959635158,0.1054840664,0.1825847055,0.2657911697,0.3373574781,0.2142666467
959692583,0.1772102132,1.0000000000,0.0000000000,0.4037715836,0.1772102132,0.1817448435,0.1825843057,0.7289364014,0.0000000011,0.0884792918
87649919,0.0959635878,1.0000000000,0.0000000000,0.3739819475,0.0959635878,0.1054840664,0.1825839928,0.4843628438,0.1726696020,0.1603835615
