seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
953772862,0.1250686900,1.0000000000,0.0000000000,0.4987322354,0.1250686900,0.1319192873,0.1822301503,0.3484256473,0.0676299819,0.4017142206
331568997,0.1120358674,1.0000000000,0.0000000000,0.3935968805,0.1120358674,0.1190634578,0.1827697035,0.2323992886,0.4914893672,0.0933416407
545004481,0.1229171609,1.0000000000,0.0000000000,0.3632979162,0.1229171609,0.1229162953,0.1825858810,0.1383013031,0.5632459530,0.1158668628
520672402,0.1872580714,1.0000000000,0.0000000000,0.7429238031,0.1872580714,0.1897501660,0.1826943090,0.0000000011,0.2696499012,0.5476557888
849777895,0.1857302981,1.0000000000,0.0000000000,0.4317527060,0.1857302981,0.1857032132,0.1825316982,0.0213168557,0.6888739716,0.1072774745
438911460,0.1323976481,1.0000000000,0.0000000000,0.4071497537,0.1323976481,0.1393630019,0.1824596636,0.2496953436,0.5151024402,0.0527425526
284558959,0.0963112150,1.0000000000,0.0000000000,0.3962372386,0.0963112150,0.1054840664,0.1818887384,0.3321619392,0.3584408567,0.1275084658
21612079,0.1656112385,1.0000000000,0.0000000000,0.5692234648,0.1656112385,0.1675116031,0.1814006769,0.0444771268,0.2695311879,0.5045910084
363678253,0.1017328976,1.0000000000,0.0000000000,0.3878160459,0.1017328976,0.1085643625,0.1821918857,0.5040224191,0.1994458639,0.1143398313
826291924,0.1015490911,1.0000000000,0.0000000000,0.3732258340,0.1015490911,0.1081029652,0.1816367040,0.5237481718,0.1152626261,0.1793524981
9916196,0.1874409003,1.0000000000,0.0000000000,0.5036680253,0.1874409003,0.1897501659,0.1822184789,0.0000000012,0.5614866968,0.2562948232
896160771,0.1107197528,1.0000000000,0.0000000000,0.3625766800,0.1107197528,0.1127296910,0.1816198240,0.1540409511,0.4213634145,0.2429758105
542827091,0.0960750131,1.0000000000,0.0000000000,0.4499354663,0.0960750131,0.1054840664,0.1823611422,0.3132202988,0.1527563852,0.3516621738
140249088,0.1587066872,1.0000000000,0.0000000000,0.4304702167,0.1587066872,0.1657342777,0.1826293765,0.2464838143,0.5708868083,0.0000000010
302179329,0.1298415680,1.0000000000,0.0000000000,0.3377229075,0.1298415680,0.1322502318,0.1824172752,0.1149998695,0.5299577777,0.1726250776
554036143,0.1587066873,1.0000000000,0.0000000000,0.4288480019,0.1587066873,0.1657342777,0.1827752836,0.2364154261,0.5808092894,0.0000000009
315692168,0.0961129964,1.0000000000,0.0000000000,0.5332494350,0.0961129964,0.1054840664,0.1822851755,0.2156424058,0.1377255944,0.4643468243
665988883,0.1589510856,1.0000000000,0.0000000000,0.4333890563,0.1589510856,0.1657342778,0.1820953401,0.6386342657,0.1792703933,0.0000000009
672240092,0.0959635158,1.0000000000,0.0000000000,0.3697747702,0.0959635158,0.1054840664,0.1829144781,0.4203817894,0.2026391612,0.1940645713
118874252,0.1290303899,1.0000000000,0.0000000000,0.4897886250,0.1290303899,0.1315224845,0.1828462124,0.1164553641,0.2468342166,0.4538642070
281233783,0.0959635158,1.0000000000,0.0000000000,0.3779138024,0.0959635158,0.1054840664,0.1831490433,0.2683789717,0.3129205784,0.2355514066
243873251,0.1591603118,1.0000000000,0.0000000000,0.4983492337,0.1591603118,0.1657342777,0.1816768876,0.4244802725,0.0000000011,0.3938428388
659422634,0.1587066872,1.0000000000,0.0000000000,0.4412451797,0.1587066872,0.1657342777,0.1832333732,0.3536457835,0.4631208423,0.0000000010
730295586,0.1500473873,1.0000000000,0.0000000000,0.4131254090,0.1500473873,0.1542983645,0.1820168307,0.6746109184,0.0962344623,0.0471377886
726994614,0.1494372128,1.0000000000,0.0000000000,0.4991583206,0.1494372128,0.1564648033,0.1828775751,0.4002489804,0.0185389499,0.3983344946
938761242,0.1873790086,1.0000000000,0.0000000000,0.4821053329,0.1873790086,0.1897501660,0.1823422625,0.0000000010,0.6313224527,0.1863352838
768647491,0.0962362812,1.0000000000,0.0000000000,0.3687620853,0.0962362812,0.1054840664,0.1820386059,0.2544002518,0.3646785632,0.1988825792
320679442,0.1114086534,1.0000000000,0.0000000000,0.4626541906,0.1114086534,0.1133958730,0.1815743870,0.1527085870,0.2642324027,0.4014846233
107740945,0.1182483582,1.0000000000,0.0000000000,0.3763809961,0.1182483582,0.1252759487,0.1826408732,0.5038811896,0.0809166589,0.2325612783
614642828,0.0963166850,1.0000000000,0.0000000000,0.3920717438,0.0963166850,0.1054840664,0.1820056476,0.1824612632,0.3679622427,0.2675708465
