seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
796817088,0.2500012437,1.0000000000,0.0000000000,0.5399702969,0.2500012437,0.2500003773,0.1825841352,0.0000000010,0.8174158628,0.0000000010
463007801,0.0959635257,1.0000000000,0.0000000000,0.4052212827,0.0959635257,0.1054840664,0.1825841169,0.2936859703,0.2179158878,0.3058140250
232640741,0.1346098550,1.0000000000,0.0000000000,0.4212636306,0.1346098550,0.1416368241,0.1825828940,0.4474570462,0.3217651516,0.0481949082
334244195,0.1529178353,1.0000000000,0.0000000000,0.5550901055,0.1529178353,0.1554099299,0.1825844587,0.0686804732,0.2297169647,0.5190181033
530769590,0.0988865306,1.0000000000,0.0000000000,0.3988292496,0.0988865306,0.1059137625,0.1825834195,0.3552061640,0.3425693850,0.1196410315
765147169,0.2127323626,1.0000000000,0.0000000000,0.4373099257,0.2127323626,0.2172669929,0.1825841843,0.7999808216,0.0174349932,0.0000000010
606015820,0.1682918384,1.0000000000,0.0000000000,0.7942808371,0.1682918384,0.1682907233,0.1825836378,0.1634193090,0.0000000010,0.6539970523
933223844,0.0987044873,1.0000000000,0.0000000000,0.3879816786,0.0987044873,0.1057320607,0.1825841026,0.4204668706,0.1200044350,0.2769445918
867738953,0.1830348409,1.0000000000,0.0000000000,0.4489635201,0.1830348409,0.1855269355,0.1825861452,0.0084464621,0.6234213402,0.1855460525
753353532,0.0959635158,1.0000000000,0.0000000000,0.3878220220,0.0959635158,0.1054840664,0.1825849085,0.3328830196,0.2004280510,0.2841040208
603107157,0.0959635158,1.0000000000,0.0000000000,0.3687463728,0.0959635158,0.1054840664,0.1825841630,0.2833041001,0.3256987929,0.2084129440
289855815,0.1872580714,1.0000000000,0.0000000000,0.9348843408,0.1872580714,0.1897501660,0.1825850571,0.0000000010,0.1539705615,0.6634443804
412571569,0.2458165143,1.0000000000,0.0000000000,0.5174017907,0.2458165143,0.2458156488,0.1825845784,0.0039081349,0.8090459626,0.0044613241
118894287,0.1872580714,1.0000000000,0.0000000000,0.6387664219,0.1872580714,0.1897501660,0.1825842521,0.0000000010,0.3901468332,0.4272689137
374184043,0.1872580912,1.0000000000,0.0000000000,0.6357700650,0.1872580912,0.1897501660,0.1825840972,0.0000000010,0.4014169881,0.4159989137
926472243,0.1131345635,1.0000000000,0.0000000000,0.4452204389,0.1131345635,0.1156229944,0.1825768095,0.1482543444,0.2978877287,0.3712811174
425882086,0.1872580714,1.0000000000,0.0000000000,0.9432139806,0.1872580714,0.1897501660,0.1825844674,0.0000000010,0.1493884850,0.6680270466
113728822,0.1060126296,1.0000000000,0.0000000000,0.3915559896,0.1060126296,0.1130402201,0.1825844681,0.4322121426,0.1053881162,0.2798152731
651931025,0.1526715355,1.0000000000,0.0000000000,0.3660405763,0.1526715355,0.1551636301,0.1825844690,0.0691730728,0.4806321776,0.2676102806
962614874,0.1297116630,1.0000000000,0.0000000000,0.4906763379,0.1297116630,0.1367391444,0.1825839185,0.3683064709,0.0579902677,0.3911193429
867490631,0.0959637791,1.0000000000,0.0000000000,0.3524287492,0.0959637791,0.1054840664,0.1825836102,0.4053642421,0.1825286995,0.2295234482
274076453,0.1587066872,1.0000000000,0.0000000000,0.4636943748,0.1587066872,0.1657342777,0.1825847167,0.4633062317,0.0000000010,0.3541090506
531016516,0.0959635158,1.0000000000,0.0000000000,0.4041719126,0.0959635158,0.1054840664,0.1825852998,0.2893725990,0.2412818424,0.2867602588
247839562,0.1393483674,1.0000000000,0.0000000000,0.4591435406,0.1393483674,0.1463759579,0.1825843148,0.4272848446,0.0387166405,0.3514142000
268691983,0.1878173893,1.0000000000,0.0000000000,0.4189665965,0.1878173893,0.1923480183,0.1825761343,0.7501509224,0.0390407361,0.0282322071
236662362,0.1156170127,1.0000000000,0.0000000000,0.4103251096,0.1156170127,0.1226421060,0.1825791425,0.4344789969,0.2967575163,0.0861843444
994581298,0.1337717795,1.0000000000,0.0000000000,0.4024083045,0.1337717795,0.1407988394,0.1825830757,0.4932729220,0.0498708777,0.2742731247
840856372,0.1416945743,1.0000000000,0.0000000000,0.5682190878,0.1416945743,0.1441866689,0.1825842991,0.0911269952,0.1879876805,0.5383010251
816568763,0.0996293483,1.0000000000,0.0000000000,0.3569784840,0.0996293483,0.1054840664,0.1825933910,0.1752574473,0.4116148055,0.2305343562
959143459,0.1587066872,1.0000000000,0.0000000000,0.4454170048,0.1587066872,0.1657342777,0.1825843533,0.4973356267,0.3200800190,0.0000000010
