seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
831112672,0.0963804821,1.0000000000,0.0000000000,0.4860692369,0.0963804821,0.1054840664,0.1817502041,0.2881968831,0.1358058576,0.3942470552
891911453,0.0959635158,1.0000000000,0.0000000000,0.4932656261,0.0959635158,0.1054840664,0.1831729066,0.2806628791,0.1304557119,0.4057085023
153284316,0.1401296395,1.0000000000,0.0000000000,0.6495784327,0.1401296395,0.1469666905,0.1822030579,0.2231742371,0.0375351754,0.5570875296
746739455,0.0959909900,1.0000000000,0.0000000000,0.4746693555,0.0959909900,0.1054840664,0.1825291884,0.2786796655,0.1547440692,0.3840470768
179268307,0.1458106616,1.0000000000,0.0000000000,0.5324779562,0.1458106616,0.1525683728,0.1820443782,0.3514890677,0.0263318109,0.4401347432
367208997,0.0966109626,1.0000000000,0.0000000000,0.4471168179,0.0966109626,0.1054840664,0.1812892432,0.2668286795,0.1981528480,0.3537292293
599382791,0.1686381286,1.0000000000,0.0000000000,0.3734282989,0.1686381286,0.1711302232,0.1839698151,0.0372398866,0.5813661759,0.1974241224
719926789,0.1875241270,1.0000000000,0.0000000000,0.6406626257,0.1875241270,0.1897501660,0.1820520256,0.0000000010,0.3866080244,0.4313399490
874562040,0.0964996063,1.0000000000,0.0000000000,0.3808612860,0.0964996063,0.1054840664,0.1815119559,0.3507607889,0.1960598428,0.2716674124
44784837,0.0959635158,1.0000000000,0.0000000000,0.3885895587,0.0959635158,0.1054840664,0.1838461166,0.3253357095,0.2056321958,0.2851859781
196434665,0.1039165736,1.0000000000,0.0000000000,0.3605055760,0.1039165736,0.1063563147,0.1824794299,0.1667877036,0.4869303913,0.1638024751
280508617,0.1630327776,1.0000000000,0.0000000000,0.5985019944,0.1630327776,0.1655248722,0.1831118233,0.0484505887,0.2358828009,0.5325547871
310323672,0.0959635158,1.0000000000,0.0000000000,0.3630640989,0.0959635158,0.1054840664,0.1826188823,0.2152466449,0.4073039308,0.1948305420
320417227,0.1839914521,1.0000000000,0.0000000000,0.5139728625,0.1839914521,0.1864835467,0.1827322449,0.0065332397,0.5124062966,0.2983282189
971826425,0.0959635158,1.0000000000,0.0000000000,0.4216390529,0.0959635158,0.1054840664,0.1826646690,0.2377693487,0.2717434079,0.3078225745
499306985,0.0961678906,1.0000000000,0.0000000000,0.4222130144,0.0961678906,0.1054840664,0.1821753872,0.3573615729,0.1435896986,0.3168733413
500741186,0.1452505041,1.0000000000,0.0000000000,0.3910412418,0.1452505041,0.1521725415,0.1823730308,0.6582397574,0.0271234733,0.1322637385
433698847,0.1991540954,1.0000000000,0.0000000000,0.3846987515,0.1991540954,0.1991532299,0.1829179560,0.1016942957,0.7153877472,0.0000000012
143897502,0.0959635158,1.0000000000,0.0000000000,0.3718459097,0.0959635158,0.1054840664,0.1828056682,0.3590012319,0.2484693154,0.2097237844
13936287,0.1343163720,1.0000000000,0.0000000000,0.4807038905,0.1343163720,0.1412600993,0.1824164105,0.3909438250,0.0489483578,0.3776914067
174278532,0.1745466723,1.0000000000,0.0000000000,0.3968414936,0.1745466723,0.1760806589,0.1806679209,0.0273390153,0.6009056429,0.1910874209
229656029,0.1764432821,1.0000000000,0.0000000000,0.3559489564,0.1764432821,0.1764424166,0.1835028170,0.0771550126,0.6693812596,0.0699609108
131822217,0.0959693613,1.0000000000,0.0000000000,0.3662711036,0.0959693613,0.1054840664,0.1825724457,0.4955968205,0.1284728366,0.1933578972
17961412,0.0959635158,1.0000000000,0.0000000000,0.4026912254,0.0959635158,0.1054840664,0.1830483745,0.2972347317,0.2170466303,0.3026702634
677658673,0.1169042837,1.0000000000,0.0000000000,0.3460607153,0.1169042837,0.1193963783,0.1826518200,0.1407075765,0.4452858830,0.2313547204
969309912,0.1358922823,1.0000000000,0.0000000000,0.3740322094,0.1358922823,0.1383843769,0.1829060412,0.1027315793,0.4294086570,0.2849537225
121832504,0.0959635158,1.0000000000,0.0000000000,0.5473653235,0.0959635158,0.1054840664,0.1832122379,0.1988342937,0.1308608914,0.4870925771
296535204,0.1136747667,1.0000000000,0.0000000000,0.4093858566,0.1136747667,0.1204900965,0.1821596154,0.4121276129,0.3152244081,0.0904883635
506329931,0.0963832499,1.0000000000,0.0000000000,0.4067885174,0.0963832499,0.1054840664,0.1817446686,0.2869704111,0.2403265184,0.2909584019
927502363,0.0965770609,1.0000000000,0.0000000000,0.3887573066,0.0965770609,0.1054840664,0.1819775073,0.4158775260,0.1248658831,0.2772790836
