seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
857572143,0.1676787608,1.0000000000,0.0000000000,0.3808888514,0.1676787608,0.1676778952,0.1825853638,0.0459931652,0.6527696701,0.1186518010
833698510,0.1496411900,1.0000000000,0.0000000000,0.3864567012,0.1496411900,0.1566645370,0.1825756501,0.5604233969,0.0181394823,0.2388614707
462799365,0.1468185667,1.0000000000,0.0000000000,0.3363992921,0.1468185667,0.1493074649,0.1825777440,0.0808854032,0.6015526161,0.1349842366
784137842,0.1587067303,1.0000000000,0.0000000000,0.6133969780,0.1587067303,0.1657342777,0.1825840507,0.2910574136,0.0000000010,0.5263585347
385089495,0.0959635197,1.0000000000,0.0000000000,0.3643610859,0.0959635197,0.1054840664,0.1825841290,0.4364504719,0.1960090259,0.1849563733
686165481,0.1334739891,1.0000000000,0.0000000000,0.3492358373,0.1334739891,0.1340068217,0.1825791396,0.1114866896,0.5843613536,0.1215728172
639563271,0.1079867818,1.0000000000,0.0000000000,0.3954189756,0.1079867818,0.1141534908,0.1825854285,0.5904884158,0.1237645810,0.1031615747
249798705,0.1297085332,1.0000000000,0.0000000000,0.4113975812,0.1297085332,0.1367228440,0.1825575776,0.2975838910,0.4618356631,0.0580228683
266463317,0.2214498588,1.0000000000,0.0000000000,0.4375532532,0.2214498588,0.2259844890,0.1825841366,0.8174158614,0.0000000010,0.0000000010
61133145,0.1511152510,1.0000000000,0.0000000000,0.7391290406,0.1511152510,0.1552039753,0.1825867340,0.1767113799,0.0210606059,0.6196412803
139768410,0.1219755767,1.0000000000,0.0000000000,0.4050527244,0.1219755767,0.1290029983,0.1825837990,0.2758698674,0.4680837737,0.0734625598
433618652,0.1604374338,1.0000000000,0.0000000000,0.4776618389,0.1604374338,0.1629255140,0.1825761082,0.0536493050,0.3872337898,0.3765407970
477877273,0.1872580791,1.0000000000,0.0000000000,0.4789527220,0.1872580791,0.1897501660,0.1825841215,0.0000000010,0.6201488796,0.1972669980
165120732,0.1748540402,1.0000000000,0.0000000000,0.4138328392,0.1748540402,0.1793884224,0.1825836405,0.7242242243,0.0460986947,0.0470934404
416889368,0.1587066872,1.0000000000,0.0000000000,0.4451463235,0.1587066872,0.1657342777,0.1825904880,0.5217902079,0.2956193031,0.0000000010
604177519,0.1872580714,1.0000000000,0.0000000000,0.4942386922,0.1872580714,0.1897501660,0.1825841369,0.0000000010,0.6776163242,0.1397995379
232569940,0.1299073822,1.0000000000,0.0000000000,0.3760788717,0.1299073822,0.1369340943,0.1825823800,0.5354832019,0.0576003679,0.2243340502
338236901,0.1816260293,1.0000000000,0.0000000000,0.9050106662,0.1816260293,0.1841181239,0.1825841390,0.0112640853,0.1359422333,0.6702095424
505053887,0.1872580714,1.0000000000,0.0000000000,0.6924602146,0.1872580714,0.1897501660,0.1825842687,0.0000000010,0.3065251143,0.5108906160
366392449,0.1039731226,1.0000000000,0.0000000000,0.5426393664,0.1039731226,0.1110005272,0.1825837650,0.2368549471,0.1094675020,0.4710937859
736944618,0.1546902404,1.0000000000,0.0000000000,0.3542487003,0.1546902404,0.1546827925,0.1825709721,0.1043255636,0.6267938563,0.0863096080
327495564,0.1362760508,1.0000000000,0.0000000000,0.5052301925,0.1362760508,0.1433036413,0.1825916396,0.3645309916,0.0448612738,0.4080160950
433896756,0.1587066872,1.0000000000,0.0000000000,0.6949891290,0.1587066872,0.1657342777,0.1825941458,0.2329582331,0.0000000010,0.5844476202
379464079,0.1726854496,1.0000000000,0.0000000000,0.3903793787,0.1726854496,0.1726845172,0.1825840032,0.1412584526,0.6627842746,0.0133732696
182915795,0.1587067085,1.0000000000,0.0000000000,0.4453340680,0.1587067085,0.1657342777,0.1825840942,0.5084048599,0.3090110450,0.0000000010
685743345,0.1178121067,1.0000000000,0.0000000000,0.3662198983,0.1178121067,0.1178112411,0.1825849044,0.1469644105,0.5530368212,0.1174138639
235446164,0.1018244606,1.0000000000,0.0000000000,0.3683791556,0.1018244606,0.1088520511,0.1825914958,0.5132458299,0.1137644542,0.1903982201
296876474,0.1587067712,1.0000000000,0.0000000000,0.3792074264,0.1587067712,0.1657342777,0.1825839690,0.5973904485,0.0000000010,0.2200255815
792751956,0.1561758393,1.0000000000,0.0000000000,0.3474029820,0.1561758393,0.1586676172,0.1825835034,0.0621650987,0.5173099440,0.2379414539
948857926,0.1592234803,1.0000000000,0.0000000000,0.7268346514,0.1592234803,0.1592222396,0.1825833868,0.0838136928,0.0977425845,0.6358603360
