algorithm,config,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,seed,w_cost,w_emissions,w_reliability,w_social,objective_mean,objective_std,p_value_vs_baseline,significant_vs_baseline,better_than_baseline
ABC,abc_1,0.0959635158,1.0000000000,0.0000000000,0.4563325138,0.0959635158,0.1054840664,0.0986070586,0.0820049372,0.1071428571,0.1401767703,438878439,0.1825950369,0.2256194795,0.2181083774,0.3736771062,0.1330750321,0.0372594071,0.0000000000,True,True
ABC,abc_2,0.0959635158,1.0000000000,0.0000000000,0.3755523484,0.0959635158,0.1054840664,0.0986095378,0.0955399785,0.1071428571,0.1401792495,67920001,0.1825900784,0.3796869469,0.2409142534,0.1968087214,0.1275166230,0.0415178952,0.0000000000,True,True
ABC,abc_3,0.0959635158,1.0000000000,0.0000000000,0.4962900640,0.0959635158,0.1054840664,0.0986104652,0.1125286271,0.1071428571,0.1486810551,76343185,0.1825882236,0.2626143792,0.1434875429,0.4113098543,0.1276474122,0.0399674622,0.0000000000,True,True
ABC,abc_4,0.0959635158,1.0000000000,0.0000000000,0.3907258481,0.0959635158,0.1054840664,0.0986064138,0.1231191889,0.1084575904,0.1470668180,471096205,0.1825963264,0.3164750740,0.3607009233,0.1402276763,0.1408366660,0.0349078014,0.0000000000,True,True
ABC,abc_5,0.0959635158,1.0000000000,0.0000000000,0.3919410908,0.0959635158,0.1054840664,0.0986093591,0.0774054465,0.1071428571,0.1401790708,436717389,0.1825904359,0.3214176261,0.2137339041,0.2822580340,0.1349948710,0.0329138522,0.0000000000,True,True
ABC,abc_6,0.0959635158,1.0000000000,0.0000000000,0.3663766083,0.0959635158,0.1054840664,0.0986122243,0.0860997037,0.1071428571,0.1401819360,361812610,0.1825847055,0.2657911697,0.3373574781,0.2142666467,0.1329231235,0.0373964351,0.0000000000,True,True
ABC,abc_7,0.0959635158,1.0000000000,0.0000000000,0.3852735947,0.0959635158,0.1054840664,0.0986122000,0.1653209285,0.1151097917,0.1537248054,789006562,0.1825847541,0.5192541711,0.1712378011,0.1269232737,0.1430811916,0.0451751775,0.0000000000,True,True
ABC,abc_8,0.0959635158,1.0000000000,0.0000000000,0.5114505456,0.0959635158,0.1054840664,0.0986066008,0.1146788449,0.1071428571,0.1438281939,584097968,0.1825959525,0.2152492994,0.1631307422,0.4390240058,0.1394230128,0.0437369700,0.0000000000,True,True
HC_SA_PSO,kiz_hc_1,0.0959635158,1.0000000000,0.0000000000,0.4065758106,0.0959635158,0.1054840664,0.0984701512,0.0631039597,0.1071428571,0.1400398629,925120118,0.1828688517,0.2809657674,0.2611937767,0.2749716042,0.1293783559,0.0372613549,0.0000000000,True,True
HC_SA_PSO,kiz_hc_2,0.0959635158,1.0000000000,0.0000000000,0.3697747702,0.0959635158,0.1054840664,0.0984473380,0.1160495996,0.1071428571,0.1400170497,672240092,0.1829144781,0.4203817894,0.2026391612,0.1940645713,0.1325021625,0.0315649890,0.0000000000,True,True
