label,w_cost,w_emissions,w_reliability,w_social
runs_i2pls_7_13,0.4627896030,0.0992740980,0.1868586530,0.2510776460
runs_lbh_3_22,0.4613462675,0.4247038220,0.1139499104,0.0000000000
runs_lbh_8_15,0.4642756336,0.0000000000,0.4715973429,0.0641270234
runs_lbh_8_23,0.4502647834,0.0000000000,0.5497352166,0.0000000000
runs_mts_2_17,0.4628135183,0.1781026525,0.2711081631,0.0879756662
runs_i2pls_7_13,0.1685023831,0.0663320659,0.3005498079,0.4646157431
runs_lbh_3_22,0.1679201020,0.0114341248,0.8206457732,0.0000000000
runs_lbh_8_15,0.1655399985,0.1774803411,0.0000000000,0.6569796604
runs_lbh_8_23,0.1669778690,0.0000000000,0.0000000000,0.8330221310
runs_mts_2_17,0.1683493442,0.2281242932,0.1463240869,0.4572022757
runs_i2pls_7_13,0.1825543286,0.0090404062,0.3127775315,0.4956277337
runs_lbh_3_22,0.1858442975,0.3165738624,0.1714553699,0.3261264701
runs_lbh_8_15,0.1811148849,0.0086276541,0.3339734720,0.4762839890
runs_lbh_8_23,0.1908175459,0.0155379268,0.7936445273,0.0000000000
runs_mts_2_17,0.1825332168,0.0100254429,0.4416804162,0.3657609242
