seed,objective,rho,cr_proxy,w_cost,w_emissions,w_reliability,w_social
801959002,0.0000000000,1.0000000000,0.0000000000,0.2572026006,0.2651607739,0.1386629703,0.3389736552
553299522,0.0000000000,1.0000000000,0.0000000000,0.1878980404,0.4154232455,0.0316458223,0.3650328919
291978905,0.0000000000,1.0000000000,0.0000000000,0.0663395973,0.0027381771,0.5396189654,0.3913032602
409815678,0.0000000000,1.0000000000,0.0000000000,0.5164687284,0.1180321076,0.3533581922,0.0121409718
778629689,0.0000000000,1.0000000000,0.0000000000,0.4868867480,0.0200486447,0.4445178652,0.0485467421
565821110,0.0000000000,1.0000000000,0.0000000000,0.1617301968,0.7118183770,0.0679806283,0.0584707979
189432789,0.0000000000,1.0000000000,0.0000000000,0.1780037338,0.1153381713,0.5718145871,0.1348435077
260716052,0.0000000000,1.0000000000,0.0000000000,0.1147776641,0.2518681684,0.4807255345,0.1526286330
190911652,0.0000000000,1.0000000000,0.0000000000,0.2002739527,0.4095564989,0.0714355009,0.3187340476
436358451,0.0000000000,1.0000000000,0.0000000000,0.1656379447,0.0935389008,0.2238953106,0.5169278439
290161053,0.0000000000,1.0000000000,0.0000000000,0.5081257036,0.2435711749,0.2428501207,0.0054530008
134818858,0.0000000000,1.0000000000,0.0000000000,0.1995408522,0.2415254472,0.1003787035,0.4585549972
645854039,0.0000000000,1.0000000000,0.0000000000,0.2566746477,0.5661785980,0.0626884205,0.1144583338
702891158,0.0000000000,1.0000000000,0.0000000000,0.0059881075,0.7034960678,0.0799365225,0.2105793022
336630527,0.0000000000,1.0000000000,0.0000000000,0.3050017387,0.0788020860,0.0162620971,0.5999340783
100561030,0.0000000000,1.0000000000,0.0000000000,0.0927385368,0.3034225391,0.4439634980,0.1598754261
405071124,0.0000000000,1.0000000000,0.0000000000,0.2403061288,0.1238572441,0.3495118986,0.2863247285
279517748,0.0000000000,1.0000000000,0.0000000000,0.3185588850,0.3206174412,0.2907405071,0.0700831667
381173151,0.0000000000,1.0000000000,0.0000000000,0.6266675806,0.0335160889,0.1263595083,0.2134568222
218520611,0.0000000000,1.0000000000,0.0000000000,0.0344961530,0.1358876947,0.5332186058,0.2963975465
32621845,0.0000000000,1.0000000000,0.0000000000,0.1883617236,0.2845373195,0.1087714478,0.4183295092
131626640,0.0000000000,1.0000000000,0.0000000000,0.1691119814,0.7544761697,0.0245056926,0.0519061563
848398337,0.0000000000,1.0000000000,0.0000000000,0.0557607930,0.2737563107,0.1565129293,0.5139699670
549091141,0.0000000000,1.0000000000,0.0000000000,0.1090385421,0.0325868866,0.3771520104,0.4812225609
541529020,0.0000000000,1.0000000000,0.0000000000,0.2891563933,0.6009278846,0.0183960865,0.0915196357
196957156,0.0000000000,1.0000000000,0.0000000000,0.8621554247,0.1343623076,0.0030749133,0.0004073544
682541066,0.0000000000,1.0000000000,0.0000000000,0.0393804185,0.0428771427,0.6174155618,0.3003268769
751169557,0.0000000000,1.0000000000,0.0000000000,0.1347881876,0.4709633883,0.2540286175,0.1402198066
933511772,0.0000000000,1.0000000000,0.0000000000,0.2426652382,0.2067834281,0.1124296032,0.4381217305
279872710,0.0000000000,1.0000000000,0.0000000000,0.2735491977,0.2811289256,0.3137113204,0.1316105563
