seed,objective,rho,cr_proxy,w_cost,w_emissions,w_reliability,w_social
859482087,0.0000000000,1.0000000000,0.0000000000,0.3867935073,0.0626248767,0.0110583338,0.5395232822
203416113,0.0000000000,1.0000000000,0.0000000000,0.5276566531,0.2566899849,0.1001853988,0.1154679632
468356713,0.0000000000,1.0000000000,0.0000000000,0.4305784277,0.2053854968,0.3619115407,0.0021245349
212503573,0.0000000000,1.0000000000,0.0000000000,0.2168375299,0.3233525693,0.3855409696,0.0742689312
219588431,0.0000000000,1.0000000000,0.0000000000,0.0798625534,0.6035624880,0.0202694046,0.2963055540
65638816,0.0000000000,1.0000000000,0.0000000000,0.0147914689,0.0926402517,0.5930124027,0.2995558767
694364633,0.0000000000,1.0000000000,0.0000000000,0.2860251156,0.1006835330,0.0702829884,0.5430083631
79814018,0.0000000000,1.0000000000,0.0000000000,0.1092888741,0.1659998423,0.3341230153,0.3905882683
126105330,0.0000000000,1.0000000000,0.0000000000,0.3941691626,0.3003289866,0.0839571400,0.2215447108
136989552,0.0000000000,1.0000000000,0.0000000000,0.0177478229,0.7530022954,0.1567070873,0.0725427944
519796740,0.0000000000,1.0000000000,0.0000000000,0.4386060886,0.3722252679,0.1351273967,0.0540412469
454552953,0.0000000000,1.0000000000,0.0000000000,0.2517058045,0.3328262862,0.2312665894,0.1842013199
777373950,0.0000000000,1.0000000000,0.0000000000,0.1629305524,0.2006384010,0.3449187563,0.2915122903
360275111,0.0000000000,1.0000000000,0.0000000000,0.0677307312,0.4429937355,0.2037290068,0.2855465266
229526008,0.0000000000,1.0000000000,0.0000000000,0.2325393464,0.6310761227,0.0872754479,0.0491090830
77380438,0.0000000000,1.0000000000,0.0000000000,0.2449174985,0.3395549104,0.0358615373,0.3796660539
421793581,0.0000000000,1.0000000000,0.0000000000,0.2395770499,0.6984191347,0.0531424709,0.0088613445
817118519,0.0000000000,1.0000000000,0.0000000000,0.5423936565,0.2078873351,0.0993543418,0.1503646667
458136534,0.0000000000,1.0000000000,0.0000000000,0.0262344148,0.0753429570,0.4785351028,0.4198875254
267609937,0.0000000000,1.0000000000,0.0000000000,0.5852042378,0.1818239152,0.1280370105,0.1049348366
309685992,0.0000000000,1.0000000000,0.0000000000,0.1664044511,0.3125966935,0.0121122350,0.5088866203
17025811,0.0000000000,1.0000000000,0.0000000000,0.5393742230,0.0143137150,0.1108321679,0.3354798940
177010902,0.0000000000,1.0000000000,0.0000000000,0.4877975746,0.2700168015,0.0417041262,0.2004814977
103381750,0.0000000000,1.0000000000,0.0000000000,0.1360881372,0.1682955050,0.1642740088,0.5313423490
268030787,0.0000000000,1.0000000000,0.0000000000,0.3626859135,0.2222917337,0.3280898662,0.0869324866
942425859,0.0000000000,1.0000000000,0.0000000000,0.2778230320,0.0837266539,0.4115600587,0.2268902553
755614555,0.0000000000,1.0000000000,0.0000000000,0.5527742683,0.3251900428,0.0395317544,0.0825039345
994072274,0.0000000000,1.0000000000,0.0000000000,0.3259887154,0.4716338575,0.0337978968,0.1685795303
308650054,0.0000000000,1.0000000000,0.0000000000,0.1171929333,0.3873179357,0.1052651070,0.3902240239
370674245,0.0000000000,1.0000000000,0.0000000000,0.3931682512,0.0092058709,0.4311169158,0.1665089621
