seed,objective,rho,cr_proxy,w_cost,w_emissions,w_reliability,w_social
889143888,0.0000000000,1.0000000000,0.0000000000,0.2757122574,0.2970037255,0.3263310678,0.1009529493
775368272,0.0000000000,1.0000000000,0.0000000000,0.1659603911,0.6193972781,0.0950468959,0.1195954349
87523169,0.0000000000,1.0000000000,0.0000000000,0.1183261855,0.1341713569,0.1161382942,0.6313641635
26434701,0.0000000000,1.0000000000,0.0000000000,0.3940616882,0.1536546442,0.1992402152,0.2530434524
217688433,0.0000000000,1.0000000000,0.0000000000,0.2624147461,0.2831562527,0.3724237727,0.0820052284
479736745,0.0000000000,1.0000000000,0.0000000000,0.1488935772,0.4007990716,0.1982081805,0.2520991707
907486907,0.0000000000,1.0000000000,0.0000000000,0.3288505082,0.2026647939,0.3891151609,0.0793695370
768654348,0.0000000000,1.0000000000,0.0000000000,0.5023091116,0.1003474154,0.1739332552,0.2234102178
180190795,0.0000000000,1.0000000000,0.0000000000,0.0960497159,0.3301049430,0.0372309795,0.5366143616
627220996,0.0000000000,1.0000000000,0.0000000000,0.2795032453,0.1051975175,0.5637366491,0.0515625881
83306423,0.0000000000,1.0000000000,0.0000000000,0.4357284751,0.4392574626,0.0423076344,0.0827064279
46225090,0.0000000000,1.0000000000,0.0000000000,0.3061040435,0.2805299217,0.1269685210,0.2863975138
389981179,0.0000000000,1.0000000000,0.0000000000,0.1707081594,0.5133398409,0.2131901163,0.1027618834
483282075,0.0000000000,1.0000000000,0.0000000000,0.0984835855,0.1204258556,0.4144173554,0.3666732035
717415264,0.0000000000,1.0000000000,0.0000000000,0.2373260478,0.3270425926,0.0494809218,0.3861504377
93408124,0.0000000000,1.0000000000,0.0000000000,0.5640411884,0.1798775416,0.1957990141,0.0602822559
595295359,0.0000000000,1.0000000000,0.0000000000,0.1873524705,0.2595980680,0.5222794475,0.0307700140
640273722,0.0000000000,1.0000000000,0.0000000000,0.1039436058,0.0812864491,0.6708540605,0.1439158846
532327416,0.0000000000,1.0000000000,0.0000000000,0.4518938124,0.3033469316,0.1462948487,0.0984644073
6942119,0.0000000000,1.0000000000,0.0000000000,0.1433019155,0.2520483443,0.2903141848,0.3143355555
742688394,0.0000000000,1.0000000000,0.0000000000,0.0068207313,0.4722859767,0.2768158091,0.2440774829
105761479,0.0000000000,1.0000000000,0.0000000000,0.1372334229,0.2077890969,0.2839969306,0.3709805496
833456755,0.0000000000,1.0000000000,0.0000000000,0.3399105579,0.1409405001,0.2397974234,0.2793515186
686997739,0.0000000000,1.0000000000,0.0000000000,0.6887577920,0.1349919638,0.1222416295,0.0540086147
21018438,0.0000000000,1.0000000000,0.0000000000,0.1416047256,0.5934162381,0.1824309998,0.0825480365
897149514,0.0000000000,1.0000000000,0.0000000000,0.1094931992,0.6585576815,0.0122821792,0.2196669402
36000298,0.0000000000,1.0000000000,0.0000000000,0.0699851346,0.1097961051,0.7574160147,0.0628027455
602242064,0.0000000000,1.0000000000,0.0000000000,0.1456641438,0.3630493857,0.3262454057,0.1650410649
66124701,0.0000000000,1.0000000000,0.0000000000,0.0425011340,0.4443125734,0.3228505532,0.1903357394
876619915,0.0000000000,1.0000000000,0.0000000000,0.1710633536,0.5420963817,0.0221048047,0.2647354601
