seed,objective,rho,cr_proxy,w_cost,w_emissions,w_reliability,w_social
488607811,0.0000000000,1.0000000000,0.0000000000,0.7355008089,0.1385378346,0.0174199621,0.1085413944
244108560,0.0000000000,1.0000000000,0.0000000000,0.3794169066,0.1233497670,0.2252894183,0.2719439081
341461395,0.0000000000,1.0000000000,0.0000000000,0.2393437073,0.3268286638,0.2330915125,0.2007361164
686383614,0.0000000000,1.0000000000,0.0000000000,0.3530146939,0.1363249099,0.4084050841,0.1022553121
177516610,0.0000000000,1.0000000000,0.0000000000,0.5443231771,0.1850570760,0.0012577180,0.2693620289
787759888,0.0000000000,1.0000000000,0.0000000000,0.1014297843,0.2834241556,0.1448791761,0.4702668840
145395401,0.0000000000,1.0000000000,0.0000000000,0.1815334114,0.3328141682,0.4726604764,0.0129919440
245401253,0.0000000000,1.0000000000,0.0000000000,0.4297186664,0.0098319025,0.2405778804,0.3198715507
61114380,0.0000000000,1.0000000000,0.0000000000,0.1889375426,0.4870942520,0.1490982898,0.1748699156
392206478,0.0000000000,1.0000000000,0.0000000000,0.2173956546,0.6061368965,0.1119061960,0.0645612529
825437543,0.0000000000,1.0000000000,0.0000000000,0.4850585980,0.0630827286,0.2294396688,0.2224190045
339382881,0.0000000000,1.0000000000,0.0000000000,0.1682908530,0.2102964169,0.4506400494,0.1707726807
247409385,0.0000000000,1.0000000000,0.0000000000,0.4448775331,0.4181123558,0.0241363633,0.1128737478
309823071,0.0000000000,1.0000000000,0.0000000000,0.0644680277,0.0207226014,0.1868857515,0.7279236194
878564218,0.0000000000,1.0000000000,0.0000000000,0.0203357860,0.4453050658,0.1047532137,0.4296059345
138402552,0.0000000000,1.0000000000,0.0000000000,0.0459988273,0.3582988437,0.2085473501,0.3871549789
64566284,0.0000000000,1.0000000000,0.0000000000,0.0420885118,0.1625863175,0.7732890088,0.0220361618
136069555,0.0000000000,1.0000000000,0.0000000000,0.3991676761,0.0409151757,0.4932089014,0.0667082468
953007423,0.0000000000,1.0000000000,0.0000000000,0.7639777220,0.1762601286,0.0449057935,0.0148563559
262617833,0.0000000000,1.0000000000,0.0000000000,0.5985340801,0.1197219567,0.2680141111,0.0137298521
24304727,0.0000000000,1.0000000000,0.0000000000,0.8554199874,0.0496970138,0.0909865056,0.0038964931
236794415,0.0000000000,1.0000000000,0.0000000000,0.2564244191,0.0046584930,0.4060188152,0.3328982726
122932415,0.0000000000,1.0000000000,0.0000000000,0.3347049476,0.0518221943,0.3311687391,0.2823041190
656221014,0.0000000000,1.0000000000,0.0000000000,0.2159627151,0.2458658937,0.2877717431,0.2503996481
201236382,0.0000000000,1.0000000000,0.0000000000,0.3330672561,0.0212211813,0.3319128472,0.3137987155
825837655,0.0000000000,1.0000000000,0.0000000000,0.6289971030,0.0551649649,0.2012245635,0.1146133686
926464962,0.0000000000,1.0000000000,0.0000000000,0.0028953434,0.5092834733,0.0802868041,0.4075343791
305824393,0.0000000000,1.0000000000,0.0000000000,0.3428920580,0.1880206377,0.0803451470,0.3887421573
875149228,0.0000000000,1.0000000000,0.0000000000,0.4298250938,0.4261922710,0.1068124810,0.0371701542
758519240,0.0000000000,1.0000000000,0.0000000000,0.0651346141,0.3234747510,0.3478295948,0.2635610402
