seed,objective,rho,cr_proxy,w_cost,w_emissions,w_reliability,w_social
194750415,0.0000000000,1.0000000000,0.0000000000,0.0100299283,0.7394502042,0.1040116489,0.1465082186
489801799,0.0000000000,1.0000000000,0.0000000000,0.1378885703,0.1862803443,0.2825575914,0.3932734940
604987990,0.0000000000,1.0000000000,0.0000000000,0.7016358807,0.0413070864,0.2063156284,0.0507414045
332988486,0.0000000000,1.0000000000,0.0000000000,0.1690252838,0.1925575019,0.0784599651,0.5599572492
297654145,0.0000000000,1.0000000000,0.0000000000,0.2556016552,0.1632694352,0.2239098868,0.3572190228
133485940,0.0000000000,1.0000000000,0.0000000000,0.1731612919,0.1114423896,0.0043530746,0.7110432439
925358039,0.0000000000,1.0000000000,0.0000000000,0.0882901710,0.5537034073,0.0676787510,0.2903276707
737492788,0.0000000000,1.0000000000,0.0000000000,0.1677908100,0.0086049794,0.3705041721,0.4531000385
315252773,0.0000000000,1.0000000000,0.0000000000,0.1260800896,0.2531286142,0.4465367717,0.1742545245
119796233,0.0000000000,1.0000000000,0.0000000000,0.0023458241,0.1064226336,0.3086659694,0.5825655729
485120149,0.0000000000,1.0000000000,0.0000000000,0.3008987861,0.3856285030,0.0060001386,0.3074725724
834038848,0.0000000000,1.0000000000,0.0000000000,0.0956732400,0.4682985563,0.1933259523,0.2427022513
835175046,0.0000000000,1.0000000000,0.0000000000,0.0901934417,0.0784168709,0.2920858237,0.5393038637
178020308,0.0000000000,1.0000000000,0.0000000000,0.3920149096,0.0525124178,0.4551533670,0.1003193056
686324083,0.0000000000,1.0000000000,0.0000000000,0.0435725716,0.0133537344,0.9031539183,0.0399197757
70346264,0.0000000000,1.0000000000,0.0000000000,0.1722418544,0.1816305925,0.2709524166,0.3751751365
450533538,0.0000000000,1.0000000000,0.0000000000,0.2057096002,0.5113118594,0.2829785394,0.0000000010
674700659,0.0000000000,1.0000000000,0.0000000000,0.0027471240,0.2989269213,0.0233861870,0.6749397677
97725618,0.0000000000,1.0000000000,0.0000000000,0.1487742682,0.4761054390,0.2172711353,0.1578491576
515969955,0.0000000000,1.0000000000,0.0000000000,0.2868163893,0.2510928524,0.0713747852,0.3907159731
181225059,0.0000000000,1.0000000000,0.0000000000,0.1323551182,0.2811465033,0.4450273519,0.1414710265
781471660,0.0000000000,1.0000000000,0.0000000000,0.0508565392,0.0787782726,0.7598190889,0.1105460993
38455900,0.0000000000,1.0000000000,0.0000000000,0.1292592413,0.3494635672,0.3096395939,0.2116375976
772578882,0.0000000000,1.0000000000,0.0000000000,0.0152745205,0.1968827074,0.4686924893,0.3191502828
283902604,0.0000000000,1.0000000000,0.0000000000,0.3970984017,0.1223078277,0.2243728547,0.2562209159
745690421,0.0000000000,1.0000000000,0.0000000000,0.8449199377,0.1139969330,0.0101765630,0.0309065662
973992986,0.0000000000,1.0000000000,0.0000000000,0.0948190233,0.0402958144,0.6214324696,0.2434526927
374454912,0.0000000000,1.0000000000,0.0000000000,0.3611716632,0.1973327236,0.1864997788,0.2549958344
963194275,0.0000000000,1.0000000000,0.0000000000,0.0490666318,0.1211066548,0.3292687752,0.5005579382
771046245,0.0000000000,1.0000000000,0.0000000000,0.2198363513,0.5648095431,0.0437389324,0.1716151733
