seed,objective,rho,cr_proxy,w_cost,w_emissions,w_reliability,w_social
927407258,0.0000000000,1.0000000000,0.0000000000,0.1380104910,0.6346990477,0.1616224785,0.0656679828
739168709,0.0000000000,1.0000000000,0.0000000000,0.1484308423,0.0044913276,0.0282402986,0.8188375316
231908188,0.0000000000,1.0000000000,0.0000000000,0.1128301562,0.3856011106,0.2649010368,0.2366676964
835049695,0.0000000000,1.0000000000,0.0000000000,0.2509519678,0.1480160345,0.1040541982,0.4969777995
799125128,0.0000000000,1.0000000000,0.0000000000,0.3520888726,0.1018822756,0.4422619903,0.1037668616
213042310,0.0000000000,1.0000000000,0.0000000000,0.4437218959,0.2583080976,0.0732907214,0.2246792851
518165036,0.0000000000,1.0000000000,0.0000000000,0.2574537450,0.4352764204,0.1247224029,0.1825474317
794151062,0.0000000000,1.0000000000,0.0000000000,0.3874463544,0.2786520068,0.0366359242,0.2972657146
231555624,0.0000000000,1.0000000000,0.0000000000,0.2579630737,0.1035817791,0.2928858396,0.3455693076
244803363,0.0000000000,1.0000000000,0.0000000000,0.3134453340,0.5006293047,0.0433121532,0.1426132081
165903993,0.0000000000,1.0000000000,0.0000000000,0.2097737732,0.1840420503,0.1967074236,0.4094767529
7599265,0.0000000000,1.0000000000,0.0000000000,0.0327713977,0.2642587909,0.3951977115,0.3077720999
497788968,0.0000000000,1.0000000000,0.0000000000,0.3633688979,0.1083481385,0.1745458237,0.3537371399
16152655,0.0000000000,1.0000000000,0.0000000000,0.1783455485,0.2820677169,0.5057832881,0.0338034465
582724640,0.0000000000,1.0000000000,0.0000000000,0.2736565281,0.3959442128,0.2067174505,0.1236818087
415779860,0.0000000000,1.0000000000,0.0000000000,0.1940751325,0.4083960803,0.3016171244,0.0959116628
184337987,0.0000000000,1.0000000000,0.0000000000,0.2848704182,0.0290626415,0.6156196540,0.0704472864
361840088,0.0000000000,1.0000000000,0.0000000000,0.0923644283,0.6983026264,0.0631438311,0.1461891142
14894916,0.0000000000,1.0000000000,0.0000000000,0.7154839655,0.0766262694,0.0675441803,0.1403455848
143412028,0.0000000000,1.0000000000,0.0000000000,0.3019393865,0.5963818350,0.0625412928,0.0391374857
471133228,0.0000000000,1.0000000000,0.0000000000,0.0242499828,0.0403349281,0.6984319491,0.2369831401
77304146,0.0000000000,1.0000000000,0.0000000000,0.0719208206,0.3733439440,0.4665707366,0.0881644988
728243328,0.0000000000,1.0000000000,0.0000000000,0.0682320541,0.6938794527,0.0051314358,0.2327570574
256885663,0.0000000000,1.0000000000,0.0000000000,0.2415401267,0.0838228811,0.3581939826,0.3164430097
918600491,0.0000000000,1.0000000000,0.0000000000,0.3233355970,0.1835421844,0.4411323990,0.0519898197
625534005,0.0000000000,1.0000000000,0.0000000000,0.1887898482,0.3260019378,0.0863011038,0.3989071103
515339805,0.0000000000,1.0000000000,0.0000000000,0.0300378888,0.1678794574,0.6005910369,0.2014916169
917122572,0.0000000000,1.0000000000,0.0000000000,0.2369436076,0.2645719011,0.1076426230,0.3908418682
617791258,0.0000000000,1.0000000000,0.0000000000,0.0418375805,0.1470877397,0.7140155928,0.0970590869
864690250,0.0000000000,1.0000000000,0.0000000000,0.0896106550,0.0397676101,0.0207021751,0.8499195598
