seed,objective,rho,cr_proxy,w_cost,w_emissions,w_reliability,w_social
408982734,0.0000000000,1.0000000000,0.0000000000,0.0987925520,0.2420137081,0.1497244586,0.5094692813
296759850,0.0000000000,1.0000000000,0.0000000000,0.5515372663,0.0165147230,0.0820281623,0.3499198484
776076098,0.0000000000,1.0000000000,0.0000000000,0.0271935991,0.3252587744,0.0114559373,0.6360916892
699212378,0.0000000000,1.0000000000,0.0000000000,0.2896593659,0.1546543834,0.1051940872,0.4504921635
16288360,0.0000000000,1.0000000000,0.0000000000,0.3642180013,0.2663047635,0.3077325434,0.0617446918
11239913,0.0000000000,1.0000000000,0.0000000000,0.0082120012,0.9207264679,0.0352596960,0.0358018349
559566680,0.0000000000,1.0000000000,0.0000000000,0.1580442664,0.0296923086,0.2523137398,0.5599496851
596941015,0.0000000000,1.0000000000,0.0000000000,0.2502091739,0.2637458883,0.3073919717,0.1786529661
680062086,0.0000000000,1.0000000000,0.0000000000,0.4530093987,0.4139094080,0.0161758047,0.1169053886
259537541,0.0000000000,1.0000000000,0.0000000000,0.2806077889,0.0691093284,0.1041686874,0.5461141952
166080919,0.0000000000,1.0000000000,0.0000000000,0.1573281457,0.0831958058,0.2208896315,0.5385864170
923434185,0.0000000000,1.0000000000,0.0000000000,0.2275907838,0.4417244397,0.2300876270,0.1005971495
169864182,0.0000000000,1.0000000000,0.0000000000,0.2282392006,0.4389149753,0.0786487655,0.2541970586
622312714,0.0000000000,1.0000000000,0.0000000000,0.1476809083,0.1630440998,0.3132462742,0.3760287178
552105349,0.0000000000,1.0000000000,0.0000000000,0.4006103952,0.0761386599,0.3256654345,0.1975855104
902026250,0.0000000000,1.0000000000,0.0000000000,0.0780795425,0.2111628330,0.0800103934,0.6307472311
472493901,0.0000000000,1.0000000000,0.0000000000,0.2429111152,0.0718382296,0.3115510280,0.3736996272
813858223,0.0000000000,1.0000000000,0.0000000000,0.3113989791,0.1878268816,0.0028346364,0.4979395029
988966372,0.0000000000,1.0000000000,0.0000000000,0.0662547770,0.1690171224,0.1726394063,0.5920886943
414413422,0.0000000000,1.0000000000,0.0000000000,0.2366479455,0.2025764172,0.0377436774,0.5230319599
9911651,0.0000000000,1.0000000000,0.0000000000,0.0037280016,0.5078151618,0.0810826829,0.4073741537
895073700,0.0000000000,1.0000000000,0.0000000000,0.2601758663,0.4162300525,0.0139098422,0.3096842390
555708630,0.0000000000,1.0000000000,0.0000000000,0.0817537786,0.4826125828,0.4151687716,0.0204648670
983281808,0.0000000000,1.0000000000,0.0000000000,0.0093079830,0.4410641355,0.3517235146,0.1979043670
48138289,0.0000000000,1.0000000000,0.0000000000,0.2918840653,0.3496225578,0.2942704818,0.0642228951
230020655,0.0000000000,1.0000000000,0.0000000000,0.7654034071,0.1178298228,0.0927643759,0.0240023942
921783381,0.0000000000,1.0000000000,0.0000000000,0.0365805483,0.0099944228,0.5009746385,0.4524503904
428995885,0.0000000000,1.0000000000,0.0000000000,0.0487426076,0.0139271967,0.0142403408,0.9230898549
454609350,0.0000000000,1.0000000000,0.0000000000,0.1086668603,0.1913161777,0.4658299405,0.2341870215
82587547,0.0000000000,1.0000000000,0.0000000000,0.2385053195,0.4903285761,0.0213813082,0.2497847962
