seed,objective,rho,cr_proxy,w_cost,w_emissions,w_reliability,w_social
957967677,0.0000000000,1.0000000000,0.0000000000,0.7166091801,0.1181208554,0.1577787502,0.0074912144
413368956,0.0000000000,1.0000000000,0.0000000000,0.0355112881,0.5338001429,0.4306885681,0.0000000009
510249273,0.0000000000,1.0000000000,0.0000000000,0.1513703084,0.7338916797,0.0979802598,0.0167577521
1018448,0.0000000000,1.0000000000,0.0000000000,0.1333871691,0.1742249250,0.3674028333,0.3249850725
124550584,0.0000000000,1.0000000000,0.0000000000,0.1498521696,0.1384242245,0.5005823559,0.2111412500
828841927,0.0000000000,1.0000000000,0.0000000000,0.1991622706,0.6607742190,0.0798494426,0.0602140677
311534400,0.0000000000,1.0000000000,0.0000000000,0.3673112811,0.0488759459,0.5576553910,0.0261573821
830527092,0.0000000000,1.0000000000,0.0000000000,0.2724713667,0.1136094552,0.4218819778,0.1920372003
928879497,0.0000000000,1.0000000000,0.0000000000,0.0962049503,0.1241334047,0.2717950252,0.5078666198
336511889,0.0000000000,1.0000000000,0.0000000000,0.0245701905,0.7366546402,0.2012178534,0.0375573159
2844506,0.0000000000,1.0000000000,0.0000000000,0.3735538467,0.1347529249,0.1742278339,0.3174653945
679818631,0.0000000000,1.0000000000,0.0000000000,0.6197456914,0.1363776053,0.1420456331,0.1018310702
795858986,0.0000000000,1.0000000000,0.0000000000,0.0643277715,0.4527293495,0.2709874271,0.2119554520
141583648,0.0000000000,1.0000000000,0.0000000000,0.4789338820,0.0976483453,0.2417912200,0.1816265526
253826998,0.0000000000,1.0000000000,0.0000000000,0.4007876909,0.1451434580,0.1407826291,0.3132862221
601484707,0.0000000000,1.0000000000,0.0000000000,0.2613195938,0.1692094945,0.3652297103,0.2042412015
711432537,0.0000000000,1.0000000000,0.0000000000,0.1974551327,0.3353819677,0.0144012885,0.4527616111
33141780,0.0000000000,1.0000000000,0.0000000000,0.0911977165,0.0520609254,0.2371237689,0.6196175892
509927236,0.0000000000,1.0000000000,0.0000000000,0.2799686603,0.2115590363,0.3001937517,0.2082785517
588925602,0.0000000000,1.0000000000,0.0000000000,0.5419421719,0.0276707444,0.2274561566,0.2029309272
986051056,0.0000000000,1.0000000000,0.0000000000,0.1658031288,0.0954196158,0.0470385825,0.6917386729
523705848,0.0000000000,1.0000000000,0.0000000000,0.0226291717,0.1225559289,0.7729701575,0.0818447419
930959136,0.0000000000,1.0000000000,0.0000000000,0.1787165051,0.2708818366,0.1981299553,0.3522717030
940467622,0.0000000000,1.0000000000,0.0000000000,0.2709056744,0.2761806725,0.2505387609,0.2023748922
178485358,0.0000000000,1.0000000000,0.0000000000,0.0028958959,0.2364301632,0.0085282501,0.7521456908
788692179,0.0000000000,1.0000000000,0.0000000000,0.1252644705,0.1295805914,0.4177075636,0.3274473745
622749419,0.0000000000,1.0000000000,0.0000000000,0.1625163452,0.2472413486,0.1048895989,0.4853527073
899123374,0.0000000000,1.0000000000,0.0000000000,0.6451331646,0.0108537679,0.0535704797,0.2904425878
248136499,0.0000000000,1.0000000000,0.0000000000,0.5430861920,0.2147997919,0.2233675446,0.0187464715
291613580,0.0000000000,1.0000000000,0.0000000000,0.0173555722,0.0591834987,0.1322521406,0.7912087884
