seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
969604544,0.1046643586,1.0000000000,0.0000000000,0.3847871894,0.1806486594,0.1831828050,0.4628284808,0.0131619149,0.2449810361,0.2790285682
264205439,0.0119530601,0.8750000000,0.0000000000,25216048.2810739204,0.0959767869,0.1055109199,0.4628023089,0.2271303402,0.1365545619,0.1735127889
384847643,0.1914685381,0.8750000000,0.0000000000,66163664.6793326139,0.2499441109,0.2500503566,0.4628165449,0.0000000010,0.0000000010,0.5371834531
888942037,0.0706174894,1.0000000000,0.0000000000,0.2223127885,0.1323073595,0.1339807164,0.4628209484,0.1720683465,0.3016770213,0.0634336837
616437104,0.0620557296,1.0000000000,0.0000000000,3415831.9536741502,0.1377640685,0.1448703016,0.4628192995,0.3466015037,0.0418544271,0.1487247696
286318312,0.1676564454,0.8750000000,0.0000000000,55456251.1889144033,0.2261318511,0.2262380968,0.4628162106,0.0000000010,0.0476245206,0.4895592678
371484416,0.1117591232,1.0000000000,0.0000000000,0.7612979390,0.1872296163,0.1897637619,0.4628204762,0.0000000010,0.3839607612,0.1532187615
773766931,0.0430929923,0.8750000000,0.0000000000,16645179.1145339254,0.1190772931,0.1216114387,0.4628351148,0.1363046474,0.1637638567,0.2370963811
363629857,0.0095271869,0.8750000000,0.0000000000,22842250.7675519139,0.0959767869,0.1055109199,0.4628198849,0.2218314910,0.1420490464,0.1732995777
487244860,0.0734201572,1.0000000000,0.0000000000,0.3653026766,0.1375937304,0.1420578440,0.4628164345,0.3693309465,0.1062499308,0.0616026882
489233920,0.1222750451,1.0000000000,0.0000000000,0.6960162580,0.1864492481,0.1909133618,0.4628176943,0.4670407222,0.0000000010,0.0701415824
468019046,0.1573453270,1.0000000000,0.0000000000,0.7047138913,0.2215200388,0.2259841525,0.4628194815,0.5371805165,0.0000000010,0.0000000010
487121616,0.0589570892,0.8750000000,0.0000000000,30364091.1056495234,0.1374262317,0.1445324649,0.4628307834,0.2552143373,0.0425301007,0.2394247786
964930208,0.0863836507,0.8750000000,0.0000000000,22865250.1221466884,0.1531387744,0.1556729200,0.4628155675,0.0681816849,0.1419890693,0.3270136783
241342652,0.1112535505,1.0000000000,0.0000000000,0.4863290288,0.1872296163,0.1897637619,0.4628022420,0.0000000010,0.2276301575,0.3095675995
898227334,0.0701201565,0.8750000000,0.0000000000,41666667.3004211336,0.1485892991,0.1556955322,0.4628200657,0.2248800814,0.0202039660,0.2920958869
195678799,0.0371350152,0.8750000000,0.0000000000,16323237.9584254045,0.1013097271,0.1075306289,0.4628224936,0.2967568808,0.1165337726,0.1238868530
316783925,0.0881147296,1.0000000000,0.0000000000,0.3278494917,0.1572576200,0.1641496336,0.4628212435,0.3987175597,0.1353653474,0.0030958494
245204270,0.1914674535,0.8750000000,0.0000000000,66163664.1366237327,0.2499441099,0.2500503556,0.4628259218,0.0000000010,0.0000000031,0.5371740741
639500687,0.0784601348,1.0000000000,0.0000000000,0.2315816442,0.1494752592,0.1563672728,0.4628174983,0.2011573821,0.3173645487,0.0186605710
184787078,0.0570724446,1.0000000000,0.0000000000,5691344.0743101137,0.1215931092,0.1286993423,0.4628204869,0.3366337463,0.0741963458,0.1263494210
204562636,0.0755472395,1.0000000000,0.0000000000,10712476.1270457320,0.1540115623,0.1611177955,0.4628090726,0.3165367703,0.0093594394,0.2112947177
905474903,0.0549781702,1.0000000000,0.0000000000,0.1219815935,0.1242800304,0.1311720439,0.4628167081,0.1977316438,0.2704006194,0.0690510287
812541841,0.0655616501,1.0000000000,0.0000000000,0.2090514421,0.1272515202,0.1271435463,0.4628221906,0.1605261203,0.2915641005,0.0850875886
914617049,0.0966229665,1.0000000000,0.0000000000,0.3793522351,0.1583128366,0.1582048627,0.4628344001,0.1352042381,0.3536745238,0.0482868380
371658980,0.1914674544,0.8750000000,0.0000000000,66163664.6232440546,0.2499441108,0.2500503565,0.4628215019,0.0000000010,0.0000000012,0.5371784958
71358214,0.0935055623,1.0000000000,0.0000000000,0.6786683215,0.1586912814,0.1657975146,0.4628168825,0.4095017567,0.0000000012,0.1276813595
833897030,0.0801567528,0.8750000000,0.0000000000,37326250.8737402558,0.1586225300,0.1657287631,0.4628119812,0.2388402884,0.0001375041,0.2982102262
88193980,0.0432570661,0.8750000000,0.0000000000,19134746.8068843521,0.1156949132,0.1182290587,0.4628323467,0.1430694074,0.1533513716,0.2407468744
348772578,0.0900167423,1.0000000000,0.0000000000,0.3907589405,0.1659874909,0.1685216365,0.4627916078,0.0424842518,0.2919543759,0.2027697646
