seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
889143888,0.0569487502,1.0000000000,0.0000000000,3086756.0933287647,0.1328000005,0.1353341461,0.4625526110,0.1088592327,0.2113291592,0.2172589972
775368272,0.1573704823,1.0000000000,0.0000000000,0.7047214597,0.2215200387,0.2259841524,0.4627684012,0.5372315966,0.0000000011,0.0000000011
87523169,0.1395511187,0.8750000000,0.0000000000,43484668.5223292857,0.1980277751,0.1981340209,0.4629184285,0.1038326727,0.0000000009,0.4332488978
26434701,0.0813142798,1.0000000000,0.0000000000,0.3452351807,0.1429694564,0.1428614825,0.4627493251,0.1103892178,0.3230728385,0.1037886186
217688433,0.0570769774,1.0000000000,0.0000000000,0.1350378570,0.1246118082,0.1315038218,0.4629975766,0.1941955812,0.2744193692,0.0683874730
479736745,0.0335706593,0.8750000000,0.0000000000,41666667.0465086848,0.1120398019,0.1191460350,0.4633435018,0.2275107148,0.0933029603,0.2158428231
907486907,0.0589319903,1.0000000000,0.0000000000,0.1973298859,0.1205852446,0.1204772707,0.4627454803,0.1391660502,0.2783082596,0.1197802099
768654348,0.0343285493,0.8750000000,0.0000000000,18115254.0709610581,0.0989366138,0.1060428469,0.4629430624,0.2910233802,0.1195093365,0.1265242209
180190795,0.1406480494,0.8750000000,0.0000000000,45146908.2294756770,0.1991247058,0.1992309515,0.4628887894,0.0585711602,0.0430676521,0.4354723983
627220996,0.1883685036,1.0000000000,0.0000000000,1.0350801035,0.2500583737,0.2499503998,0.4632406212,0.0000000010,0.5367593769,0.0000000010
83306423,0.0802221391,0.8750000000,0.0000000000,36208602.4651100487,0.1586912816,0.1657975147,0.4630556811,0.2411700925,0.0000000009,0.2957742255
46225090,0.1836102130,1.0000000000,0.0000000000,0.9783730391,0.2453000831,0.2451921092,0.4629847008,0.0095165820,0.5274987161,0.0000000011
389981179,0.0771231878,1.0000000000,0.0000000000,0.2016717357,0.1588055441,0.1656975576,0.4630422093,0.2248787936,0.3120789958,0.0000000012
483282075,0.1355044746,1.0000000000,0.0000000000,0.8579561123,0.1971943447,0.1970863708,0.4628638378,0.0000000010,0.4314081024,0.1057280589
717415264,0.0723219311,0.8750000000,0.0000000000,16298057.4752277657,0.1507835495,0.1578897826,0.4628036637,0.2968280873,0.0158154651,0.2245527839
93408124,0.0167726105,1.0000000000,0.0000000000,7289693.3649831600,0.0959767869,0.1055109199,0.4628360070,0.2098592248,0.1939722050,0.1333325632
595295359,0.0638648408,1.0000000000,0.0000000000,1887024.4063609282,0.1454521861,0.1523441996,0.4626286900,0.2937179559,0.2169466368,0.0267067173
640273722,0.1112453155,1.0000000000,0.0000000000,0.6989648186,0.1872296163,0.1897637619,0.4629729430,0.0000000010,0.3565580293,0.1804690267
532327416,0.0656615519,1.0000000000,0.0000000000,1846765.0155077477,0.1298282813,0.1342923950,0.4628027471,0.3538137359,0.0981903069,0.0851932101
6942119,0.0398613907,0.8750000000,0.0000000000,32852182.5661406070,0.0979960038,0.1055109199,0.4621346253,0.1797983064,0.1240979100,0.2339691583
742688394,0.1121970759,1.0000000000,0.0000000000,0.4256668650,0.1738179386,0.1737099647,0.4626806972,0.1480123008,0.3848384308,0.0044685712
105761479,0.1142278469,0.8750000000,0.0000000000,18727438.1502509341,0.1872296162,0.1897637618,0.4625327950,0.0000000012,0.1547651330,0.3827020708
833456755,0.1302997184,0.8750000000,0.0000000000,36644425.5204230696,0.1886577208,0.1897637619,0.4625814038,0.0000000009,0.1225727815,0.4148458138
686997739,0.1447912615,1.0000000000,0.0000000000,0.8479064365,0.2064811317,0.2063731578,0.4629047439,0.0100574390,0.4499407702,0.0770970469
21018438,0.1253334507,1.0000000000,0.0000000000,0.5898537243,0.1891991737,0.1936632874,0.4622007342,0.4731575335,0.0415907081,0.0230510242
897149514,0.0942242752,1.0000000000,0.0000000000,0.3583236523,0.1588055442,0.1656975577,0.4627964887,0.4109391824,0.1262643278,0.0000000011
36000298,0.0926786562,1.0000000000,0.0000000000,0.4351925120,0.1543685263,0.1542605524,0.4628799293,0.0862152727,0.3457403740,0.1051644240
602242064,0.1055387385,0.8750000000,0.0000000000,20615726.7039739043,0.1754875687,0.1780217142,0.4629029801,0.0234840963,0.1483733379,0.3652395857
66124701,0.0914118240,1.0000000000,0.0000000000,0.3350983759,0.1673628294,0.1698969749,0.4627521210,0.0397335749,0.2693972367,0.2281170673
876619915,0.0729770609,1.0000000000,0.0000000000,0.3466231968,0.1370034162,0.1414675299,0.4625219988,0.3684447539,0.1136469723,0.0553862750
