seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
255396303,0.0542293440,0.8750000000,0.0000000000,23038763.6937097944,0.1207597046,0.1232938502,0.4628072893,0.1329398244,0.1415478213,0.2627050649
553309215,0.0895328106,1.0000000000,0.0000000000,0.4133791889,0.1512163683,0.1511083944,0.4628060870,0.0908115177,0.3395099003,0.1068724950
863011456,0.0771283578,1.0000000000,0.0000000000,3691140.7597034434,0.1588055442,0.1656975578,0.4628083723,0.3369602602,0.2002313665,0.0000000010
643409639,0.1875542036,0.8750000000,0.0000000000,63987922.3966074809,0.2460308371,0.2461370828,0.4628186662,0.0078265487,0.0000000010,0.5293547841
469899067,0.0833271615,0.8750000000,0.0000000000,11323128.4367419183,0.1593114623,0.1618456078,0.4628415276,0.0558363092,0.1797126471,0.3016095161
167694822,0.1729255343,1.0000000000,0.0000000000,0.9887918160,0.2346154044,0.2345074305,0.4628245023,0.0000000010,0.5062895572,0.0308859395
845147323,0.1189333541,1.0000000000,0.0000000000,0.6826302025,0.1806231538,0.1805151799,0.4628185710,0.0284660692,0.3983109872,0.1104043726
398775623,0.0891379608,1.0000000000,0.0000000000,0.3273610295,0.1588055442,0.1656975578,0.4628217046,0.4007635611,0.1364147332,0.0000000010
167763124,0.0848087441,0.8750000000,0.0000000000,17073742.5817250013,0.1607930449,0.1633271905,0.4628372939,0.0528731439,0.1617559825,0.3225335797
328708358,0.0426282954,0.8750000000,0.0000000000,41666667.1043095440,0.1210974380,0.1282036711,0.4628329202,0.2294306618,0.0751876882,0.2325487298
412332466,0.0771231880,1.0000000000,0.0000000000,0.0732395207,0.1588055442,0.1656975578,0.4628201924,0.3019658632,0.2352139434,0.0000000010
322836655,0.0891671748,1.0000000000,0.0000000000,0.4176319164,0.1533412858,0.1578053995,0.4628175101,0.4008249818,0.0970336013,0.0393239069
417732489,0.1249407923,0.8750000000,0.0000000000,41666667.3895636201,0.1834174487,0.1835236944,0.4628270206,0.0721776180,0.0608757085,0.4041196529
933926565,0.0118177077,1.0000000000,0.0000000000,10018516.4814817850,0.0959767869,0.1055109199,0.4628141447,0.2173258695,0.1840796943,0.1357802914
788843758,0.0317925440,1.0000000000,0.0000000000,3191890.3009989215,0.1077768448,0.1103109903,0.4628308266,0.1589055441,0.2109805009,0.1672831283
647224989,0.1313856852,0.8750000000,0.0000000000,39271437.5963115692,0.1898623416,0.1899685873,0.4628198848,0.0000000010,0.1201635398,0.4170165745
864721824,0.1566078048,0.8750000000,0.0000000000,50980451.8691843748,0.2150844612,0.2151907069,0.4628206313,0.0222197420,0.0474995595,0.4674600671
126815053,0.0448534776,1.0000000000,0.0000000000,9637928.7090019304,0.1208377784,0.1233719240,0.4628259801,0.1327836769,0.1854019879,0.2189883551
735139158,0.0518396633,1.0000000000,0.0000000000,10707941.4473645259,0.1303069379,0.1374131711,0.4628149760,0.3165578683,0.0567686883,0.1638584675
309151364,0.1566646179,1.0000000000,0.0000000000,0.7046183149,0.2208393298,0.2253034435,0.4628262589,0.5358123210,0.0000000010,0.0013614191
761640821,0.0832483523,1.0000000000,0.0000000000,0.3440715448,0.1449369459,0.1448289720,0.4628161590,0.1175778928,0.3269409836,0.0926649646
701355845,0.0565799428,1.0000000000,0.0000000000,0.2082002564,0.1278522941,0.1303864396,0.4627637653,0.1187546455,0.2736041645,0.1448774246
896579848,0.0815787821,1.0000000000,0.0000000000,0.2796866238,0.1588055442,0.1656975578,0.4628195247,0.3856473835,0.1515330908,0.0000000010
200710410,0.0196843271,0.8750000000,0.0000000000,35664750.0412211642,0.0981500400,0.1055109199,0.4628118528,0.2226151506,0.1210824840,0.1934905126
173091662,0.1354779676,1.0000000000,0.0000000000,0.7003644891,0.1996526795,0.2041167932,0.4628210798,0.4934441995,0.0000000010,0.0437347197
749751312,0.1001263351,1.0000000000,0.0000000000,0.6548662753,0.1643010470,0.1687651607,0.4628209508,0.4227410636,0.0102841499,0.1041538358
978065150,0.1573453645,1.0000000000,0.0000000000,0.7047140166,0.2215200388,0.2259841525,0.4628186370,0.5371813610,0.0000000010,0.0000000010
937743685,0.0524550629,1.0000000000,0.0000000000,0.1459438989,0.1284337173,0.1309678629,0.4628074191,0.1175917991,0.2518028389,0.1677979429
864122017,0.1870745247,1.0000000000,0.0000000000,1.0201769194,0.2487643775,0.2486564036,0.4628186773,0.0025879932,0.5345933284,0.0000000010
41618448,0.0206883550,1.0000000000,0.0000000000,5312184.3891891288,0.1016226760,0.1085146895,0.4628212754,0.2209945616,0.2018184255,0.1143657376
