seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
569388250,0.1352192616,0.8750000000,0.0000000000,42048067.1206859574,0.1936804945,0.1937867402,0.4627878650,0.1125272339,0.0000000010,0.4246849001
616111840,0.0691079202,1.0000000000,0.0000000000,0.2035272368,0.1450818714,0.1476160169,0.4627980126,0.0842954909,0.2318501901,0.2210563063
216388008,0.1580146682,1.0000000000,0.0000000000,0.9044218399,0.2197029696,0.2195949957,0.4628155744,0.0077231808,0.4764736154,0.0529876293
872885771,0.0653988121,1.0000000000,0.0000000000,0.0523517340,0.1470251966,0.1539172101,0.4627067683,0.2812645892,0.2324679462,0.0235606963
330378907,0.1497645528,0.8750000000,0.0000000000,47067978.5540361330,0.2082289269,0.2083351726,0.4627941472,0.0834303692,0.0000000010,0.4537754826
292545673,0.0802221390,1.0000000000,0.0000000000,8994505.6253014412,0.1586912815,0.1657975147,0.4628397531,0.3231560332,0.0000000010,0.2140042128
780368817,0.1739738254,1.0000000000,0.0000000000,0.9202702328,0.2356249689,0.2355169950,0.4627412588,0.0167454383,0.5083919298,0.0121213732
661424532,0.0785959510,1.0000000000,0.0000000000,0.2602139716,0.1588055443,0.1656975578,0.4628444628,0.3796567833,0.1574987529,0.0000000009
889308829,0.0874573348,1.0000000000,0.0000000000,0.4504334189,0.1544178132,0.1569519588,0.4627637093,0.0656236072,0.3353589485,0.1362537350
749583846,0.0945277238,1.0000000000,0.0000000000,0.6795643469,0.1586912816,0.1657975147,0.4627925411,0.4115460797,0.0000000010,0.1256613782
233833453,0.0838309671,1.0000000000,0.0000000000,256258.3718608284,0.1598152679,0.1623494135,0.4628704433,0.0548286978,0.2251431680,0.2571576908
463614239,0.0531497192,1.0000000000,0.0000000000,7624723.7748362562,0.1277434450,0.1346354585,0.4629284064,0.3286803760,0.1462670180,0.0621241995
192093023,0.1260772794,0.8750000000,0.0000000000,42662414.8143813089,0.1845539358,0.1846601815,0.4628313771,0.0159547348,0.1148256175,0.4063882705
332615124,0.1368026986,0.8750000000,0.0000000000,45120613.4951461405,0.1952793550,0.1953856007,0.4628562501,0.0230243229,0.0863051910,0.4278142360
289399836,0.0832624685,0.8750000000,0.0000000000,41666667.2367955893,0.1417391249,0.1418453706,0.4628567985,0.1641340920,0.0522758820,0.3207332274
903511347,0.0803352246,0.8750000000,0.0000000000,11878704.5998974480,0.1563144808,0.1588486264,0.4628086227,0.0618302721,0.1778982143,0.2974628909
957820440,0.0602787620,1.0000000000,0.0000000000,14127193.1856714375,0.1387479045,0.1458541377,0.4630309957,0.3043372570,0.0398867551,0.1927449922
807680188,0.0539795421,1.0000000000,0.0000000000,0.1129800347,0.1257088584,0.1326008719,0.4627899812,0.2026132830,0.2684033631,0.0661933727
10374308,0.1098097158,0.8750000000,0.0000000000,41666667.4638828486,0.1682719842,0.1683782299,0.4627899361,0.1633442545,0.0000000009,0.3738658085
454003549,0.1050719408,1.0000000000,0.0000000000,0.4022822206,0.1810543631,0.1835885087,0.4628149551,0.0123505074,0.2385496135,0.2862849241
740945887,0.1277278430,1.0000000000,0.0000000000,0.6826048609,0.1918722558,0.1963363695,0.4627581139,0.4779463181,0.0057858749,0.0535096931
781682162,0.0102213350,1.0000000000,0.0000000000,12813138.6930133235,0.0959767869,0.1055109199,0.4628494827,0.2283832631,0.1749635472,0.1338037070
945305961,0.1573749251,1.0000000000,0.0000000000,0.7047227758,0.2215200391,0.2259841528,0.4627595162,0.5372404823,0.0000000007,0.0000000007
799357564,0.0474681050,0.8750000000,0.0000000000,40164542.3818534985,0.1059016829,0.1073582895,0.4627325551,0.1712064066,0.1168784514,0.2491825868
346158237,0.1404033144,1.0000000000,0.0000000000,0.8766085801,0.2020931845,0.2019852106,0.4628237935,0.0000000010,0.4412458263,0.0959303792
689525750,0.0661800334,0.8750000000,0.0000000000,41666667.1904207394,0.1302984250,0.1374046581,0.4629212400,0.1937891302,0.0567857142,0.2865039156
183625756,0.1810730057,0.8750000000,0.0000000000,60585946.3735401034,0.2395428000,0.2396490458,0.4628049879,0.0208026229,0.0000000009,0.5163923883
269601103,0.0923236776,0.8750000000,0.0000000000,41666667.4121655226,0.1586912815,0.1657975147,0.4627021628,0.1984041040,0.0000000010,0.3388937321
849212526,0.1573453270,1.0000000000,0.0000000000,0.7047136903,0.2215200388,0.2259841525,0.4628208375,0.5371791605,0.0000000010,0.0000000010
681354891,0.0901940608,1.0000000000,0.0000000000,0.3786101945,0.1543662038,0.1588303175,0.4628135743,0.4028787536,0.1144227513,0.0198849208
