algorithm,config,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,seed,w_cost,w_emissions,w_reliability,w_social,objective_mean,objective_std,p_value_vs_baseline,significant_vs_baseline,better_than_baseline
ABC,abc_1,0.0225246847,0.8750000000,0.0000000000,26157329.8367502838,0.0959767869,0.1055109199,0.0895724004,0.1801042493,0.1151793568,0.0225246847,165987865,0.4628761349,0.2674825786,0.1304088395,0.1392324469,0.1018956970,0.0477774877,0.0000000023,True,True
ABC,abc_2,0.0163154525,1.0000000000,0.0000000000,7523754.8578353580,0.0959767869,0.1055109199,0.0929802874,0.1648719736,0.1071428571,0.0163154525,278041399,0.4628172465,0.1939438282,0.1930751839,0.1501637414,0.1068134575,0.0409591891,0.0000000004,True,True
ABC,abc_3,0.0095271869,0.8750000000,0.0000000000,22842250.7675519139,0.0959767869,0.1055109199,0.0895724004,0.1648732928,0.1075469054,0.0095271869,363629857,0.4628198849,0.2218314910,0.1420490464,0.1732995777,0.0898637761,0.0481634433,0.0000000001,True,True
ABC,abc_4,0.0326044071,1.0000000000,0.0000000000,6439732.9840989271,0.1085887079,0.1111228534,0.1113112925,0.1648795245,0.1071428571,0.0326044071,681654051,0.4628323482,0.1572818180,0.1972696680,0.1826161658,0.1119077287,0.0399036103,0.0000000010,True,True
ABC,abc_5,0.0203005460,0.8750000000,0.0000000000,29818475.7872694358,0.0987606093,0.1058668425,0.0898825027,0.1747266262,0.1186407558,0.0203005460,326073790,0.4628005535,0.2568029139,0.1198613455,0.1605351871,0.0864369340,0.0448941476,0.0000000000,True,True
ABC,abc_6,0.0330332139,1.0000000000,0.0000000000,1254303.5343120957,0.1090175147,0.1115516603,0.1117400993,0.1648733450,0.1071428571,0.0330332139,702891158,0.4628199894,0.1564242043,0.2201023133,0.1606534930,0.1119036160,0.0471251448,0.0000000305,True,True
ABC,abc_7,0.0058234422,0.8750000000,0.0000000000,15913089.1664265655,0.0959767869,0.1055109199,0.0895724004,0.1648693925,0.1072683685,0.0058234422,490422562,0.4628120843,0.2287551671,0.1658266283,0.1426061202,0.0956675071,0.0473550967,0.0000000003,True,True
ABC,abc_8,0.0091431016,0.8750000000,0.0000000000,18886642.8101105690,0.0959767869,0.1055109199,0.0895724004,0.1667214520,0.1074982187,0.0091431016,470520952,0.4628162838,0.2407768352,0.1542604614,0.1421464197,0.1012707885,0.0427941234,0.0000000002,True,True
HC_SA_PSO,kiz_hc_1,0.0345338451,1.0000000000,0.0000000000,4651772.9798338022,0.1105181459,0.1130522914,0.1132407305,0.1649861457,0.1071428571,0.0345338451,139352991,0.4630455906,0.1534229420,0.2046835358,0.1788479316,0.0922475617,0.0352917284,0.0000000000,True,True
HC_SA_PSO,kiz_hc_2,0.0153589711,0.8750000000,0.0000000000,21204478.2580652125,0.0959767869,0.1055109199,0.0895724004,0.1649140137,0.1071428571,0.0153589711,856115378,0.4629013267,0.2056383641,0.1465786049,0.1848817044,0.0980051991,0.0517387918,0.0000000042,True,True
