seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
458517706,0.1573191966,1.0000000000,0.0000000000,0.6311034175,0.1574247303,0.1573191966,0.1685055923,0.5514450981,0.2632925864,0.0167567233
681654051,0.1212051798,1.0000000000,0.0000000000,0.5472644858,0.1237391198,0.1212051798,0.1685045793,0.6219374732,0.0983098559,0.1112480916
228350569,0.1158383213,1.0000000000,0.0000000000,1.0225048632,0.1159425297,0.1158383213,0.1685082429,0.2504809067,0.4812923765,0.0997184738
85569444,0.1146609148,1.0000000000,0.0000000000,0.6535714598,0.1147671605,0.1146609148,0.1684994412,0.4430687763,0.2863537687,0.1020780138
23872289,0.1813863672,1.0000000000,0.0000000000,0.6603628923,0.1882755139,0.1813863672,0.1685099017,0.1373279799,0.0000000010,0.6941621173
181698663,0.1055154150,1.0000000000,0.0000000000,0.5641108370,0.1029795413,0.1055154150,0.1684951779,0.3665968266,0.2243682908,0.2405397047
696118983,0.1055111089,1.0000000000,0.0000000000,0.9765750813,0.1029752351,0.1055111089,0.1685037902,0.2389617711,0.4386093056,0.1539251331
541832449,0.1055109199,1.0000000000,0.0000000000,0.6315876280,0.1029715888,0.1055109199,0.1685110828,0.4123435050,0.2676651710,0.1514802411
336852765,0.1444087416,1.0000000000,0.0000000000,0.4106611503,0.1512173798,0.1444087416,0.1685145823,0.1686620214,0.0427775473,0.6200458490
341992597,0.1055111564,1.0000000000,0.0000000000,0.8692834267,0.1029752827,0.1055111564,0.1685036951,0.2160269275,0.3559984248,0.2594709527
990516265,0.1529093744,1.0000000000,0.0000000000,0.8117497378,0.1530156201,0.1529093744,0.1685000815,0.4202736850,0.3856457791,0.0255804544
275840867,0.1055109199,1.0000000000,0.0000000000,0.6839323257,0.1029715204,0.1055109199,0.1685112196,0.2601961125,0.2657337154,0.3055589526
679131540,0.1055158663,1.0000000000,0.0000000000,0.4648718065,0.1029799925,0.1055158663,0.1684942754,0.2290481606,0.1731428659,0.4293146981
251343735,0.1508351676,1.0000000000,0.0000000000,1.2496966144,0.1552992639,0.1508351676,0.1685042030,0.0778571895,0.5138603347,0.2397782728
571152858,0.1349241124,1.0000000000,0.0000000000,0.9477652259,0.1350226336,0.1349241124,0.1685196170,0.3185705296,0.4513629616,0.0615468918
570105528,0.1055109199,1.0000000000,0.0000000000,0.4755538896,0.1029643714,0.1055109199,0.1685255178,0.2893213759,0.1801026131,0.3620504932
917408388,0.1055109199,1.0000000000,0.0000000000,0.7736705644,0.1029716808,0.1055109199,0.1685108988,0.1936513508,0.2965297668,0.3413079836
333856220,0.1342685519,1.0000000000,0.0000000000,0.4423191977,0.1341592485,0.1342685519,0.1685068270,0.3805386171,0.0630579267,0.3878966292
107602037,0.1231732164,1.0000000000,0.0000000000,1.2330241949,0.1302782647,0.1231732164,0.1685065380,0.1378345953,0.5779390935,0.1157197733
607456411,0.1055117211,1.0000000000,0.0000000000,0.4443613309,0.1029758473,0.1055117211,0.1685025659,0.2318704684,0.1664866095,0.4331403562
201929805,0.1055139063,1.0000000000,0.0000000000,0.8476356024,0.1029780325,0.1055139063,0.1684981954,0.2659640603,0.3585485484,0.2069891959
996371231,0.1055109199,1.0000000000,0.0000000000,0.4893735534,0.1029720972,0.1055109199,0.1685100661,0.3045716562,0.1842043986,0.3427138791
505159670,0.1055109199,1.0000000000,0.0000000000,0.4936178296,0.1051381879,0.1055109199,0.1685162487,0.4082565646,0.1210906262,0.3021365605
494822034,0.1055109199,1.0000000000,0.0000000000,0.4853009239,0.1029747917,0.1055109199,0.1685046771,0.3036655859,0.1812008313,0.3466289057
585387226,0.1656981123,1.0000000000,0.0000000000,0.6536039874,0.1658043581,0.1656981123,0.1685030590,0.5371007020,0.2943962380,0.0000000010
559930744,0.2246228642,1.0000000000,0.0000000000,0.6477737473,0.2271570097,0.2246228642,0.1685004714,0.8287732531,0.0000000010,0.0027262744
420300160,0.1575292725,1.0000000000,0.0000000000,0.6198735624,0.1574169313,0.1575292725,0.1685129028,0.4308890588,0.0165364854,0.3840615530
552119966,0.1055131677,1.0000000000,0.0000000000,0.6346538269,0.1029772939,0.1055131677,0.1684996727,0.2356697492,0.2388327634,0.3569978147
403446865,0.1690424953,1.0000000000,0.0000000000,1.1123473801,0.1734975572,0.1690424953,0.1685222717,0.0414425343,0.3331529579,0.4568822361
993784392,0.1656985885,1.0000000000,0.0000000000,0.6688592638,0.1658048342,0.1656985885,0.1685021066,0.5231804653,0.3083174270,0.0000000011
