seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
423814265,0.1074824375,1.0000000000,0.0000000000,0.6063763233,0.1070018048,0.1074824375,0.1696779249,0.4661017667,0.2477900669,0.1164302415
315047630,0.1055109199,1.0000000000,0.0000000000,0.5880422706,0.1026406236,0.1055109199,0.1691730133,0.4455708746,0.2290847825,0.1561713296
391403818,0.1273525759,1.0000000000,0.0000000000,0.9796574203,0.1274588216,0.1273525759,0.1681968755,0.2906858726,0.4641199946,0.0769972573
139352991,0.1055493463,1.0000000000,0.0000000000,0.9491848754,0.1030134726,0.1055493463,0.1684273154,0.1941972553,0.4004879707,0.2368874587
130339054,0.1055109199,1.0000000000,0.0000000000,0.6541166353,0.1028357831,0.1055109199,0.1687826943,0.2407933374,0.2486215071,0.3418024612
377351779,0.1897637619,1.0000000000,0.0000000000,1.2794599014,0.1942144753,0.1897637619,0.1685309688,0.0000000009,0.2676388969,0.5638301334
592247480,0.1057378967,1.0000000000,0.0000000000,0.7008081197,0.1032020229,0.1057378967,0.1680502146,0.3527698202,0.2937402674,0.1854396978
361899752,0.1055109199,1.0000000000,0.0000000000,0.5461840312,0.1028140242,0.1055109199,0.1688262121,0.5423810276,0.1289009763,0.1598917840
51933624,0.1140389763,1.0000000000,0.0000000000,0.8489779066,0.1183985794,0.1140389763,0.1687131893,0.1514495723,0.3249072944,0.3549299440
312308022,0.1605584143,1.0000000000,0.0000000000,0.6378750209,0.1604504404,0.1605584143,0.1684125671,0.5169353516,0.0105698028,0.3040822785
59771920,0.1640008159,1.0000000000,0.0000000000,0.8343672007,0.1684649296,0.1640008159,0.1681446513,0.0518854098,0.2409579023,0.5390120367
85683616,0.1055109199,1.0000000000,0.0000000000,0.5549066807,0.1029629814,0.1055109199,0.1685282977,0.5170809055,0.1517556326,0.1626351641
258828662,0.1478616726,1.0000000000,0.0000000000,0.5493178809,0.1476997028,0.1478616726,0.1686121598,0.4339712809,0.0358716852,0.3615448741
584408400,0.1124800407,1.0000000000,0.0000000000,0.5709155851,0.1124768337,0.1124800407,0.1687230736,0.5677392356,0.1571026557,0.1064350352
369974541,0.1418351822,1.0000000000,0.0000000000,1.0296539834,0.1462992959,0.1418351822,0.1683924127,0.0959689158,0.3820516833,0.3535869882
563236389,0.1160851322,1.0000000000,0.0000000000,0.5810406269,0.1161913780,0.1160851322,0.1684261726,0.5536581546,0.1786128252,0.0993028475
918823185,0.1785698867,1.0000000000,0.0000000000,0.6701951240,0.1854397427,0.1785698867,0.1685484832,0.1429609409,0.0000000009,0.6884905749
906523280,0.1057454074,1.0000000000,0.0000000000,0.9011512459,0.1032095336,0.1057454074,0.1680351933,0.2043549769,0.3713982558,0.2562115740
230709653,0.1373906209,1.0000000000,0.0000000000,1.0066416494,0.1415889442,0.1373906209,0.1690357490,0.1047462830,0.3771007842,0.3491171838
829793069,0.1073327116,1.0000000000,0.0000000000,0.8548603433,0.1074389573,0.1073327116,0.1683539790,0.3296684668,0.3850976718,0.1168798824
310042678,0.1901209676,1.0000000000,0.0000000000,1.6880764127,0.1945850813,0.1901209676,0.1677897566,0.0000000011,0.4904824904,0.3417277519
134119299,0.1902006061,1.0000000000,0.0000000000,0.2925798690,0.1968176770,0.1902006061,0.1690540534,0.0211230912,0.0985764119,0.7112464435
791006363,0.1063858226,1.0000000000,0.0000000000,0.8004056657,0.1038499489,0.1063858226,0.1667543627,0.2095467103,0.3115889608,0.3121099662
73445042,0.1055109199,1.0000000000,0.0000000000,0.5019178769,0.1048568177,0.1055109199,0.1691445119,0.4302414614,0.1210251035,0.2795889232
532987510,0.1055109199,1.0000000000,0.0000000000,0.8051212212,0.1096855135,0.1055109199,0.1690811022,0.1685077910,0.3081508726,0.3542602342
154960366,0.1340579122,1.0000000000,0.0000000000,1.2222497196,0.1407890684,0.1340579122,0.1692543221,0.1606414244,0.5989607009,0.0711435526
926363163,0.1533260858,1.0000000000,0.0000000000,0.1388160773,0.1602180994,0.1533260858,0.1680642026,0.0908219675,0.1030665417,0.6380472882
464894230,0.1111121803,1.0000000000,0.0000000000,1.1686568695,0.1182184134,0.1111121803,0.1683988640,0.1667891836,0.5538193910,0.1109925615
948152582,0.1587039564,1.0000000000,0.0000000000,0.6293080011,0.1585959825,0.1587039564,0.1682887210,0.3384683199,0.0144025647,0.4788403944
527323458,0.1886465441,1.0000000000,0.0000000000,0.6524223578,0.1911806897,0.1886465441,0.1680809922,0.7568206130,0.0000000009,0.0750983938
