seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
255396303,0.2259844183,1.0000000000,0.0000000000,0.6476051387,0.2285185639,0.2259844183,0.1685036366,0.8314963614,0.0000000010,0.0000000010
553309215,0.1656983712,1.0000000000,0.0000000000,1.0140379612,0.1658046169,0.1656983712,0.1685025413,0.3212877057,0.5102097520,0.0000000010
863011456,0.1055109199,1.0000000000,0.0000000000,1.0310506909,0.1084310638,0.1055109199,0.1685110523,0.1715867404,0.4465930076,0.2133091996
643409639,0.1055109199,1.0000000000,0.0000000000,0.8776090053,0.1029744414,0.1055109199,0.1685053777,0.3023200431,0.3914080208,0.1377665584
469899067,0.1595375283,1.0000000000,0.0000000000,1.2010202447,0.1596431959,0.1595375283,0.1685053245,0.1990614383,0.6201131773,0.0123200599
167694822,0.1183724647,1.0000000000,0.0000000000,0.2645801083,0.1182636281,0.1183724647,0.1685058934,0.1840592140,0.0948501011,0.5525847916
845147323,0.1881523636,1.0000000000,0.0000000000,1.4012327635,0.1926164773,0.1881523636,0.1684936421,0.0032333237,0.3356970819,0.4925759523
398775623,0.1844650237,1.0000000000,0.0000000000,1.0958489974,0.1889291374,0.1844650237,0.1685033195,0.0105983259,0.2455377421,0.5753606125
167763124,0.1055263526,1.0000000000,0.0000000000,0.5484579714,0.1029904788,0.1055263526,0.1684733028,0.3423813795,0.2152745740,0.2738707437
328708358,0.1822486576,1.0000000000,0.0000000000,1.6341869431,0.1867127713,0.1822486576,0.1685007830,0.0150335947,0.5904840567,0.2259815656
412332466,0.1597405321,1.0000000000,0.0000000000,1.2508566637,0.1640383589,0.1597405321,0.1685052844,0.1741213815,0.6454592818,0.0119140523
322836655,0.1657975147,1.0000000000,0.0000000000,0.6579987913,0.1656885069,0.1657975147,0.1685062360,0.6847865848,0.0000000010,0.1467071782
417732489,0.1657975147,1.0000000000,0.0000000000,0.6914402323,0.1656888311,0.1657975147,0.1685055876,0.3757096269,0.0000000010,0.4557847844
933926565,0.1055109199,1.0000000000,0.0000000000,0.5464598086,0.1029732942,0.1055109199,0.1685076721,0.3567115113,0.2135866198,0.2611941968
788843758,0.1198727313,1.0000000000,0.0000000000,0.5522105458,0.1224068769,0.1198727313,0.1684977236,0.6192729874,0.1070149253,0.1052143637
647224989,0.1055119779,1.0000000000,0.0000000000,0.7100136644,0.1029761041,0.1055119779,0.1685020522,0.1843414435,0.2642010717,0.3829554325
864721824,0.1055115352,1.0000000000,0.0000000000,0.7463209658,0.1029756615,0.1055115352,0.1685029375,0.2957074810,0.3063757340,0.2294138475
126815053,0.1264426461,1.0000000000,0.0000000000,1.2085265500,0.1335488232,0.1264426461,0.1685042802,0.1612073768,0.5844802106,0.0858081324
735139158,0.1237233463,1.0000000000,0.0000000000,0.3767725355,0.1281867543,0.1237233463,0.1685055794,0.1320808323,0.1476267953,0.5517867930
309151364,0.1055115669,1.0000000000,0.0000000000,0.7525688684,0.1029756932,0.1055115669,0.1685028741,0.3372901827,0.3208731346,0.1733338086
761640821,0.1774671893,1.0000000000,0.0000000000,1.4057278791,0.1819301841,0.1774671893,0.1685064060,0.0245931461,0.4493781027,0.3575223452
701355845,0.1055109199,1.0000000000,0.0000000000,0.6023122852,0.1029588595,0.1055109199,0.1685365415,0.2530179835,0.2273814375,0.3510640375
896579848,0.1338689112,1.0000000000,0.0000000000,0.4278917355,0.1337595581,0.1338689112,0.1685069265,0.3466295698,0.0638572080,0.4210062957
200710410,0.2244880318,1.0000000000,0.0000000000,0.6408641718,0.2270216463,0.2244880318,0.1685052303,0.8285025262,0.0029922425,0.0000000010
173091662,0.1331514126,1.0000000000,0.0000000000,0.9987614700,0.1332576583,0.1331514126,0.1685030581,0.2872199469,0.4791835936,0.0650934015
749751312,0.1588897914,1.0000000000,0.0000000000,0.5686182549,0.1633532122,0.1588897914,0.1685055539,0.0617479420,0.1766888447,0.5930576593
978065150,0.1334349205,1.0000000000,0.0000000000,0.7205948788,0.1378990342,0.1334349205,0.1685037203,0.1126581316,0.2512231487,0.4676149994
937743685,0.1055109199,1.0000000000,0.0000000000,0.5999495943,0.1029747449,0.1055109199,0.1685047706,0.4656555661,0.2358558692,0.1299837941
864122017,0.1650951902,1.0000000000,0.0000000000,1.4196515961,0.1695593039,0.1650951902,0.1685037211,0.0493375913,0.5725816733,0.2095770143
41618448,0.1055125388,1.0000000000,0.0000000000,0.5474784626,0.1029766651,0.1055125388,0.1685009303,0.4567339848,0.1670499162,0.2077151687
