seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
194750415,0.1656975578,1.0000000000,0.0000000000,0.6184780732,0.1653184798,0.1656975578,0.1694748155,0.5957515525,0.2347736310,0.0000000010
489801799,0.1093032930,1.0000000000,0.0000000000,0.9678886585,0.1137674067,0.1093032930,0.1675055436,0.1619195633,0.3957612953,0.2748135978
604987990,0.1193390315,1.0000000000,0.0000000000,0.8274400274,0.1238031452,0.1193390315,0.1684112613,0.1409423687,0.3094036100,0.3812427601
332988486,0.1057173728,1.0000000000,0.0000000000,0.4895101923,0.1031814991,0.1057173728,0.1680912623,0.2918727337,0.1854870359,0.3545489681
297654145,0.1071548531,1.0000000000,0.0000000000,0.8973079019,0.1107101815,0.1071548531,0.1703217387,0.1652178185,0.3599246626,0.3045357802
133485940,0.2176730439,0.8750000000,0.0000000000,41666667.2234707922,0.2245650574,0.2176730439,0.1683692359,0.0310510578,0.0338385020,0.7667412044
925358039,0.1088867592,1.0000000000,0.0000000000,0.9282571857,0.1125983251,0.1088867592,0.1700092637,0.1617540064,0.3756874509,0.2925492789
737492788,0.1713815433,1.0000000000,0.0000000000,0.5755239803,0.1739156888,0.1713815433,0.1684846950,0.7222906113,0.1092246926,0.0000000011
315252773,0.1067277986,1.0000000000,0.0000000000,1.0459205276,0.1108709970,0.1067277986,0.1691459986,0.1660719276,0.4550659724,0.2097161014
119796233,0.1055109199,1.0000000000,0.0000000000,0.5192067281,0.1029687827,0.1055109199,0.1685166952,0.3554259189,0.1870560636,0.2890013224
485120149,0.1355977396,1.0000000000,0.0000000000,0.3791487758,0.1400618533,0.1355977396,0.1654976887,0.1113385249,0.1469787194,0.5761850670
834038848,0.1055109199,1.0000000000,0.0000000000,0.5490181160,0.1029227381,0.1055109199,0.1686087844,0.3723816163,0.2111309862,0.2478786131
835175046,0.1190265709,1.0000000000,0.0000000000,0.9214208769,0.1234906846,0.1190265709,0.1666771211,0.1433014300,0.3558670296,0.3341544193
178020308,0.1501677925,1.0000000000,0.0000000000,1.1562361332,0.1537897822,0.1501677925,0.1701884161,0.0791919398,0.4481607786,0.3024588655
686324083,0.1065185462,1.0000000000,0.0000000000,0.9628571645,0.1051437731,0.1065185462,0.1664889156,0.2716444721,0.4385312981,0.1233353142
70346264,0.1055109199,1.0000000000,0.0000000000,0.4507967730,0.1026019758,0.1055109199,0.1692503088,0.2077169426,0.1684680903,0.4545646583
450533538,0.1062435579,1.0000000000,0.0000000000,0.7138176599,0.1072731093,0.1062435579,0.1670388922,0.1753748094,0.2624244741,0.3951618243
674700659,0.1464678513,1.0000000000,0.0000000000,0.3266982246,0.1533598649,0.1464678513,0.1679922353,0.1546302011,0.0530467445,0.6243308192
97725618,0.1056206653,1.0000000000,0.0000000000,1.0582568618,0.1044796488,0.1056206653,0.1682846774,0.2149502181,0.4938973035,0.1228678010
515969955,0.1055109199,1.0000000000,0.0000000000,0.6110598697,0.1027461406,0.1055109199,0.1689619793,0.4285766241,0.2567422408,0.1457191558
181225059,0.1385804751,1.0000000000,0.0000000000,0.4653567126,0.1384725012,0.1385804751,0.1681310925,0.3578944764,0.0548071558,0.4191672753
781471660,0.1061174124,1.0000000000,0.0000000000,0.9094633569,0.1035815386,0.1061174124,0.1672911832,0.1996762735,0.3738106168,0.2592219265
38455900,0.1055109199,1.0000000000,0.0000000000,0.5763537991,0.1024912167,0.1055109199,0.1694718271,0.3040785077,0.2239330733,0.3025165919
772578882,0.1186258153,1.0000000000,0.0000000000,0.8766050454,0.1187320610,0.1186258153,0.1684283046,0.3346278665,0.4027244794,0.0942193495
283902604,0.1109434083,1.0000000000,0.0000000000,0.4566651695,0.1104879067,0.1109434083,0.1691992235,0.3579019659,0.1097082139,0.3631905968
745690421,0.1251664970,1.0000000000,0.0000000000,1.2400901225,0.1316391118,0.1251664970,0.1697714050,0.1323962520,0.5806607876,0.1171715554
973992986,0.1827727732,1.0000000000,0.0000000000,1.7093886269,0.1872368869,0.1827727732,0.1683121162,0.0141740303,0.6725187474,0.1449951060
374454912,0.1055109199,1.0000000000,0.0000000000,0.4980371965,0.1029665944,0.1055109199,0.1685210716,0.4014071712,0.1298591697,0.3002125875
963194275,0.1540349648,1.0000000000,0.0000000000,1.2190334311,0.1541412106,0.1540349648,0.1676643185,0.1847160054,0.6234546396,0.0241650364
771046245,0.1055109199,1.0000000000,0.0000000000,0.7579806897,0.1028384457,0.1055109199,0.1687773691,0.3406823411,0.3254660584,0.1650742315
