seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
518441736,0.2259189823,1.0000000000,0.0000000000,0.6473117108,0.2284531144,0.2259189823,0.1685041949,0.8313654625,0.0001303415,0.0000000010
30375881,0.1766680659,1.0000000000,0.0000000000,1.3842098513,0.1811321796,0.1766680659,0.1685039468,0.0261916144,0.4414057038,0.3638987350
916507987,0.1055110545,1.0000000000,0.0000000000,0.7204468320,0.1029751807,0.1055110545,0.1685038990,0.3402646334,0.3026391740,0.1885922936
591899174,0.1055109199,1.0000000000,0.0000000000,0.6402937341,0.1029733553,0.1055109199,0.1685075498,0.2781852068,0.2481204297,0.3051868137
777466333,0.2376803708,0.8750000000,0.0000000000,50027695.7168868110,0.2445723645,0.2376803708,0.1685042076,0.0247399728,0.0000000010,0.8067558185
276973246,0.1835243888,1.0000000000,0.0000000000,0.7475563344,0.1879878623,0.1835243888,0.1685054485,0.0124787473,0.1607177860,0.6582980183
5097835,0.1315725550,1.0000000000,0.0000000000,0.8444784164,0.1316788007,0.1315725550,0.1685013715,0.3706788217,0.3925670037,0.0682528030
85705791,0.1258510739,1.0000000000,0.0000000000,0.6738936712,0.1259570422,0.1258510739,0.1685047229,0.4512793442,0.3005229641,0.0796929688
230935579,0.2178617927,1.0000000000,0.0000000000,0.6484671244,0.2203958961,0.2178617927,0.1685042523,0.8152510259,0.0000686311,0.0161760907
639031634,0.1520069046,1.0000000000,0.0000000000,1.2770904647,0.1591131377,0.1520069046,0.1685031712,0.1469853324,0.6356088395,0.0489026569
965024249,0.1055109199,1.0000000000,0.0000000000,0.7519108107,0.1029750349,0.1055109199,0.1685041907,0.2644987082,0.3016967989,0.2653003023
964923716,0.1055112064,1.0000000000,0.0000000000,0.4024499177,0.1029753326,0.1055112064,0.1685035952,0.2408917077,0.1518883964,0.4387163006
77141148,0.1764076810,1.0000000000,0.0000000000,1.2642605097,0.1808717709,0.1764076810,0.1685042156,0.0267121628,0.3689603126,0.4358233089
691965758,0.1654800431,1.0000000000,0.0000000000,0.6899427560,0.1653701482,0.1654800431,0.1685080101,0.3655782928,0.0006349441,0.4652787529
668726713,0.1786485562,1.0000000000,0.0000000000,1.5390612523,0.1831126411,0.1786485562,0.1685042257,0.0222304124,0.5474217915,0.2618435705
305357864,0.1092945339,1.0000000000,0.0000000000,0.5164347396,0.1091865600,0.1092945339,0.1685041614,0.4825030067,0.1130059693,0.2359868626
593497919,0.1095243743,1.0000000000,0.0000000000,0.5319743063,0.1094163343,0.1095243743,0.1685043002,0.5310105865,0.1125462818,0.1879388315
377817987,0.1526128492,1.0000000000,0.0000000000,0.5867358941,0.1525048753,0.1526128492,0.1685035108,0.5500152935,0.0263699892,0.2551112065
99367401,0.1775787623,1.0000000000,0.0000000000,1.4316690588,0.1820428760,0.1775787623,0.1685040595,0.0243701088,0.4675390388,0.3395867929
531447608,0.1657975327,1.0000000000,0.0000000000,0.7071293172,0.1656895588,0.1657975327,0.1685041322,0.2367530755,0.0000000010,0.5947427913
409740949,0.1264689100,1.0000000000,0.0000000000,0.3773234557,0.1263520418,0.1264689100,0.1685219566,0.2921917470,0.0786572105,0.4606290860
557716440,0.1586003275,1.0000000000,0.0000000000,1.0988967031,0.1630644412,0.1586003275,0.1684769063,0.0623541316,0.3728677152,0.3963012469
501874748,0.1187642275,1.0000000000,0.0000000000,0.9448031274,0.1188682045,0.1187642275,0.1685087055,0.2978650902,0.4397595428,0.0938666615
584752721,0.1657975147,1.0000000000,0.0000000000,0.6915414627,0.1656895059,0.1657975147,0.1685042379,0.3749580984,0.0000000010,0.4565376626
770269148,0.1656975592,1.0000000000,0.0000000000,0.7907411989,0.1658038049,0.1656975592,0.1685041652,0.4512970625,0.3801987713,0.0000000010
518684737,0.1070138581,1.0000000000,0.0000000000,0.9739370452,0.1071201038,0.1070138581,0.1685036759,0.2656744479,0.4484539835,0.1173678926
772201092,0.1055109199,1.0000000000,0.0000000000,0.6901082838,0.1029747447,0.1055109199,0.1685047712,0.3321986379,0.2837430442,0.2155535468
50969886,0.1897644865,1.0000000000,0.0000000000,1.5308784266,0.1942286002,0.1897644865,0.1685027190,0.0000000010,0.3824914351,0.4490058449
414695411,0.2489408247,0.8750000000,0.0000000000,64575357.7290788144,0.2558328273,0.2489408247,0.1685041899,0.0000000010,0.0022190649,0.8292767441
452610986,0.1977347174,0.8750000000,0.0000000000,22367489.1036589183,0.2046267309,0.1977347174,0.1685002858,0.0524683152,0.0521668478,0.7268645512
