algorithm,config,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,seed,w_cost,w_emissions,w_reliability,w_social,objective_mean,objective_std,p_value_vs_baseline,significant_vs_baseline,better_than_baseline
ABC,abc_1,0.1055109199,1.0000000000,0.0000000000,0.8422492084,0.1029705062,0.1055109199,0.1056956005,0.0923813351,0.1071428571,0.1471527319,675831337,0.1685132481,0.2700998826,0.3564928006,0.2048940687,0.1322058433,0.0245494795,0.0000000000,True,True
ABC,abc_2,0.1055109199,1.0000000000,0.0000000000,0.4507242789,0.1045548771,0.1055109199,0.1056968872,0.1226292926,0.1174400177,0.1662447472,274245004,0.1685106747,0.3250153595,0.1222628218,0.3842111440,0.1321618669,0.0305046112,0.0000000000,True,True
ABC,abc_3,0.1055109199,1.0000000000,0.0000000000,0.5688714000,0.1029745797,0.1055109199,0.1121320711,0.1048328804,0.1071428571,0.1644547175,969604544,0.1685051010,0.1878948080,0.2070377540,0.4365623370,0.1272088468,0.0303754893,0.0000000000,True,True
ABC,abc_4,0.1055109199,1.0000000000,0.0000000000,0.6839323257,0.1029715204,0.1055109199,0.1056966148,0.0636641805,0.1071428571,0.1471537462,275840867,0.1685112196,0.2601961125,0.2657337154,0.3055589526,0.1296896419,0.0301841376,0.0000000000,True,True
ABC,abc_5,0.1055109199,1.0000000000,0.0000000000,0.9654963582,0.1029712434,0.1055109199,0.1056963377,0.1182633872,0.1071428571,0.1477116754,241256793,0.1685117737,0.2454221960,0.4329360658,0.1531299645,0.1512068143,0.0364584431,0.0000000000,True,True
ABC,abc_6,0.1055109199,1.0000000000,0.0000000000,0.3828028869,0.1029749658,0.1055109199,0.1057000601,0.1168944070,0.1117051321,0.1605130346,336630527,0.1685043288,0.2401082684,0.1337325930,0.4576548098,0.1343526904,0.0341068722,0.0000000000,True,True
ABC,abc_7,0.1055109199,1.0000000000,0.0000000000,0.5458527636,0.1029730388,0.1055109199,0.1056981331,0.0785947449,0.1071428571,0.1471552645,540554042,0.1685081829,0.3097013191,0.2103319173,0.3114585807,0.1338006466,0.0292233826,0.0000000000,True,True
ABC,abc_8,0.1055109199,1.0000000000,0.0000000000,0.6900993437,0.1029744057,0.1055109199,0.1056995000,0.0942815662,0.1071428571,0.1471566314,844550351,0.1685054491,0.3440668069,0.2863341373,0.2010936067,0.1323028016,0.0262050875,0.0000000000,True,True
HC_SA_PSO,kiz_hc_1,0.1055109199,1.0000000000,0.0000000000,0.5880422706,0.1026406236,0.1055109199,0.1053657179,0.1222968365,0.1071428571,0.1468228493,315047630,0.1691730133,0.4455708746,0.2290847825,0.1561713296,0.1329134825,0.0307749172,0.0000000000,True,True
HC_SA_PSO,kiz_hc_2,0.1055109199,1.0000000000,0.0000000000,0.6252329072,0.1027692871,0.1055109199,0.1054943814,0.0750092565,0.1071428571,0.1475434122,789597307,0.1689156863,0.2213068334,0.2332729764,0.3765045039,0.1299974745,0.0272959858,0.0000000000,True,True
