algorithm,config,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,seed,w_cost,w_emissions,w_reliability,w_social,objective_mean,objective_std,p_value_vs_baseline,significant_vs_baseline,better_than_baseline
ABC,abc_1,0.0959767869,1.0000000000,0.0000000000,0.5476363498,0.0959767869,0.1055109199,0.0986901929,0.0708469825,0.1071428571,0.1401473243,986003361,0.1825240633,0.3103334178,0.2258274420,0.2813150769,0.1233061126,0.0341429835,0.0000000000,True,True
ABC,abc_2,0.0959767869,1.0000000000,0.0000000000,0.5413871218,0.0959767869,0.1055109199,0.0987018700,0.1145155612,0.1071428571,0.1401590014,641528561,0.1825007092,0.4166806282,0.2128095842,0.1880090784,0.1288265893,0.0380354111,0.0000000000,True,True
ABC,abc_3,0.0959767869,1.0000000000,0.0000000000,0.8107854666,0.0959767869,0.1055109199,0.0986998926,0.0877792025,0.1071428571,0.1401570240,204562636,0.1825046639,0.2504958445,0.3529011576,0.2140983340,0.1404809176,0.0360638751,0.0000000000,True,True
ABC,abc_4,0.0959767869,1.0000000000,0.0000000000,0.5812659501,0.0959767869,0.1055109199,0.0986968232,0.0664507881,0.1071428571,0.1401539547,181698663,0.1825108026,0.2565577626,0.2346198307,0.3263116040,0.1214553074,0.0327271795,0.0000000000,True,True
ABC,abc_5,0.0959767869,1.0000000000,0.0000000000,0.5243861471,0.0959767869,0.1055109199,0.0987017501,0.1465803494,0.1071428571,0.1438160881,15432606,0.1825009489,0.4808099648,0.1531298658,0.1835592205,0.1464404463,0.0386993966,0.0000000000,True,True
ABC,abc_6,0.0959767869,1.0000000000,0.0000000000,0.5408332713,0.0959767869,0.1055109199,0.0987017397,0.1065249508,0.1071428571,0.1401588711,409815678,0.1825009698,0.4006991467,0.2200265922,0.1967732913,0.1315490308,0.0314515085,0.0000000000,True,True
ABC,abc_7,0.0959767869,1.0000000000,0.0000000000,0.7801787355,0.0959767869,0.1055109199,0.0987003073,0.0694847727,0.1071428571,0.1401574387,214845065,0.1825038346,0.2312767994,0.3297320561,0.2564873099,0.1251357694,0.0304394832,0.0000000000,True,True
ABC,abc_8,0.0959767869,1.0000000000,0.0000000000,0.6912078988,0.0959767869,0.1055109199,0.0986986546,0.1159961485,0.1071428571,0.1401557860,633753122,0.1825071400,0.3532771569,0.3065512611,0.1576644420,0.1375248396,0.0468682677,0.0000000000,True,True
HC_SA_PSO,kiz_hc_1,0.0959767869,1.0000000000,0.0000000000,0.5566167515,0.0959767869,0.1055109199,0.0980325939,0.1264460689,0.1071428571,0.1404950029,423814265,0.1838392614,0.4392030913,0.2247218255,0.1522358217,0.1260998045,0.0320792031,0.0000000000,True,True
HC_SA_PSO,kiz_hc_2,0.0959767869,1.0000000000,0.0000000000,0.3961539336,0.0959767869,0.1055109199,0.0983540374,0.1015567180,0.1071428571,0.1398111688,780187983,0.1831963744,0.2425999930,0.1644079711,0.4097956615,0.1404723521,0.0321537688,0.0000000000,True,True
HC_SA_PSO,kiz_hc_3,0.0959767869,1.0000000000,0.0000000000,0.6506572902,0.0959767869,0.1055109199,0.1073409427,0.0904649525,0.1071428571,0.1596635891,87523169,0.1825067940,0.1834753718,0.2564432182,0.3775746160,0.1291588419,0.0321037267,0.0000000000,True,True
HC_SA_PSO,kiz_sa_1,0.0959767869,1.0000000000,0.0000000000,0.5043313806,0.0959767869,0.1055109199,0.0985773058,0.0989861564,0.1071428571,0.1480448145,745690421,0.1827498374,0.2064698776,0.2001561325,0.4106241525,0.1060411454,0.0169167892,0.0000000000,True,True
HC_SA_PSO,kiz_sa_2,0.0959767869,1.0000000000,0.0000000000,0.5974801837,0.0959767869,0.1055109199,0.0985652777,0.0841597744,0.1071428571,0.1400224091,987334396,0.1827738937,0.3420426394,0.2538462767,0.2213371901,0.1275244691,0.0352949739,0.0000000000,True,True
HC_SA_PSO,kiz_sa_3,0.0959767869,1.0000000000,0.0000000000,0.6567181114,0.0959767869,0.1055109199,0.0983193683,0.0696208711,0.1071428571,0.1397764997,120840649,0.1832657125,0.2251635346,0.2655689308,0.3260018221,0.1094685657,0.0210063840,0.0000000000,True,True
HC_SA_PSO,kiz_pso_1,0.0959767869,1.0000000000,0.0000000000,0.5639655868,0.0959767869,0.1055109199,0.0987016486,0.0680983877,0.1071428571,0.1401587801,41618448,0.1825011519,0.2944250095,0.2313246315,0.2917492071,0.1539000332,0.0471033534,0.0000000000,True,True
HC_SA_PSO,kiz_pso_2,0.0959767869,1.0000000000,0.0000000000,0.3197704646,0.0959767869,0.1055109199,0.0987018775,0.1250480883,0.1114144958,0.1543753914,875149228,0.1825006941,0.2201882807,0.1343138655,0.4629971597,0.1356484951,0.0360328286,0.0000000000,True,True
