seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
241528207,0.0636641805,1.0000000000,0.0000000000,1.0101539085,0.1512121328,0.1537480065,0.0720299949,0.2401458613,0.2733849544,0.4144391894
675831337,0.0636641805,1.0000000000,0.0000000000,0.8467657660,0.1402215734,0.1427574472,0.0940111136,0.3368896162,0.2688007094,0.3002985607
92343380,0.0636641805,1.0000000000,0.0000000000,1.3020111564,0.1632051615,0.1657410352,0.0480439375,0.2404465386,0.4081414943,0.3033680296
214323201,0.0636641805,1.0000000000,0.0000000000,1.0953718523,0.1841840628,0.1867199366,0.0060861349,0.3321112578,0.2517899289,0.4100126784
317647986,0.0636641805,1.0000000000,0.0000000000,0.8094393078,0.1437140678,0.1462499415,0.0870261250,0.3811214166,0.2550279587,0.2768244997
309452030,0.0636641805,1.0000000000,0.0000000000,0.9894619485,0.1702260866,0.1727619604,0.0340020873,0.3693118373,0.2677143813,0.3289716942
908679717,0.0636641805,1.0000000000,0.0000000000,0.9045869570,0.1458721657,0.1484080394,0.0827099291,0.2825597071,0.2591295831,0.3756007807
799466096,0.0636641805,1.0000000000,0.0000000000,0.8775927019,0.1427521043,0.1452879781,0.0889500519,0.3182586493,0.2702743527,0.3225169462
915338840,0.0636641805,1.0000000000,0.0000000000,0.8181649516,0.1511100817,0.1536459555,0.0722340970,0.4027206771,0.2456035113,0.2794417146
995802098,0.0636641805,1.0000000000,0.0000000000,1.0437440101,0.1502916603,0.1528275340,0.0738709400,0.3187214841,0.3439828286,0.2634247473
78535797,0.0636641805,1.0000000000,0.0000000000,1.3127916200,0.1621880120,0.1647238858,0.0500782365,0.2501638763,0.4343394768,0.2654184104
142231815,0.0636641805,1.0000000000,0.0000000000,0.9696260337,0.1745057168,0.1770415905,0.0254428269,0.4339668834,0.2775065665,0.2630837232
867929840,0.0636641805,1.0000000000,0.0000000000,0.9657555472,0.1541993367,0.1567352105,0.0660555870,0.3564356850,0.3015482611,0.2759604669
78725533,0.0636641805,1.0000000000,0.0000000000,0.8846463479,0.1538018233,0.1563376970,0.0668506139,0.3887224507,0.2705049850,0.2739219504
165987865,0.0636641805,1.0000000000,0.0000000000,1.1099866310,0.1728802061,0.1754160799,0.0286938483,0.3175939820,0.2949474010,0.3587647687
180823813,0.0636641805,1.0000000000,0.0000000000,0.9406433710,0.1486232555,0.1511591293,0.0772077494,0.2480043640,0.2518521593,0.4229357273
913816616,0.0636641805,1.0000000000,0.0000000000,0.7739967474,0.1274475780,0.1299834518,0.1195591044,0.2547514097,0.2414852813,0.3842042047
359646891,0.0636641805,1.0000000000,0.0000000000,0.9172111562,0.1652365031,0.1677723768,0.0439812543,0.4225304246,0.2698078161,0.2636805050
263830231,0.0636641805,1.0000000000,0.0000000000,1.0709663007,0.1507203795,0.1532562533,0.0730135015,0.2723217015,0.3302164375,0.3244483595
169619249,0.0636641805,1.0000000000,0.0000000000,0.8687358148,0.1589351726,0.1614710464,0.0565839153,0.4168091543,0.2576065459,0.2690003846
588759315,0.0636641805,1.0000000000,0.0000000000,0.9032316796,0.1379848812,0.1405207549,0.0984844982,0.2916640074,0.2880188054,0.3218326891
800194806,0.0636641805,1.0000000000,0.0000000000,0.8820691398,0.1190607122,0.1215965860,0.1363328360,0.2611306890,0.3255101822,0.2770262928
616807513,0.0636641805,1.0000000000,0.0000000000,1.4543219773,0.1830448706,0.1855807443,0.0083645194,0.2551634170,0.4313730011,0.3050990626
986003361,0.0636641805,1.0000000000,0.0000000000,1.3294315636,0.1811160194,0.1836518932,0.0122222217,0.2948949989,0.3875904805,0.3052922989
105385679,0.0636641805,1.0000000000,0.0000000000,0.8639577281,0.1265106080,0.1290464817,0.1214330445,0.2821209176,0.2990483953,0.2973976426
487649616,0.0636641805,1.0000000000,0.0000000000,1.4138464563,0.1755260455,0.1780619193,0.0234021694,0.2490891086,0.4381305201,0.2893782019
565731050,0.0636641805,1.0000000000,0.0000000000,1.2457428510,0.1670740536,0.1696099273,0.0403061534,0.2900591387,0.3926087239,0.2770259840
687561534,0.0636641805,1.0000000000,0.0000000000,1.1638851558,0.1549880021,0.1575238758,0.0644782563,0.2841287259,0.3842837809,0.2671092369
4629643,0.0636641805,1.0000000000,0.0000000000,0.9121761561,0.1677306775,0.1702665513,0.0389929054,0.4038170255,0.2498047331,0.3073853360
202594296,0.0636641805,1.0000000000,0.0000000000,1.2826043375,0.1574464527,0.1599823265,0.0595613551,0.2374039655,0.4226951448,0.2803395346
