seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
16154028,0.0895724004,1.0000000000,0.0000000000,0.5059465742,0.0959767869,0.1055109199,0.2301368303,0.3460592097,0.2582646369,0.1655393231
239147893,0.0895724004,1.0000000000,0.0000000000,0.4357334652,0.0959767869,0.1055109199,0.2130878860,0.3461489116,0.1989908413,0.2417723612
379741612,0.0895724004,1.0000000000,0.0000000000,0.0865484439,0.0959767869,0.1055109199,0.3921044319,0.2868536040,0.1924905146,0.1285514495
844550351,0.0895724004,1.0000000000,0.0000000000,0.3058115628,0.0959767869,0.1055109199,0.3099698971,0.4155658230,0.1432862610,0.1311780188
710832807,0.0895724004,1.0000000000,0.0000000000,11257708.0768643524,0.0985655405,0.1055109199,0.4474040052,0.2581900267,0.1739259595,0.1204800085
614079301,0.0895724004,0.8750000000,0.0000000000,41666666.9967672750,0.0959767869,0.1055109199,0.5255491359,0.2161702631,0.1300529079,0.1282276931
470520952,0.0895724004,1.0000000000,0.0000000000,0.3900871534,0.0959767869,0.1055109199,0.2733632761,0.4000130100,0.1994205146,0.1272031993
633753122,0.0895724004,1.0000000000,0.0000000000,0.4815791358,0.0959767869,0.1055109199,0.2108483645,0.4830651576,0.1490694038,0.1570170741
877882487,0.0895724004,1.0000000000,0.0000000000,0.3357991971,0.0959767869,0.1055109199,0.2708698960,0.4024491763,0.1257472808,0.2009336469
905074577,0.0895724004,0.8750000000,0.0000000000,31560178.5260118879,0.0959767869,0.1055109199,0.4923422459,0.2090249954,0.1339752701,0.1646574886
755338119,0.0895724004,1.0000000000,0.0000000000,0.0641219473,0.0959767869,0.1055109199,0.3882174689,0.2133731053,0.2107029169,0.1877065088
509680161,0.0895724004,1.0000000000,0.0000000000,0.4080366643,0.0959767869,0.1055109199,0.2526572071,0.3859124811,0.2062359123,0.1551943995
219890334,0.0895724004,1.0000000000,0.0000000000,14582244.7477585357,0.0959767869,0.1055109199,0.4127673609,0.2518571153,0.1456373167,0.1897382071
138756124,0.0895724004,1.0000000000,0.0000000000,0.2467942152,0.0959767869,0.1055109199,0.4057031149,0.3240732944,0.1386509548,0.1315726359
370281009,0.0895724004,1.0000000000,0.0000000000,0.3312508164,0.0959767869,0.1055109199,0.2821895074,0.3870799009,0.1519314017,0.1787991900
640479107,0.0895724004,0.8750000000,0.0000000000,29206504.8885311298,0.0959767869,0.1055109199,0.4498381634,0.2247406748,0.1257148153,0.1997063466
187035850,0.0895724004,1.0000000000,0.0000000000,568192.9521957295,0.0959767869,0.1055109199,0.4098616068,0.2647561763,0.1979493007,0.1274329161
634426239,0.0895724004,1.0000000000,0.0000000000,7021677.8726367354,0.0959767869,0.1055109199,0.4235644216,0.2651732561,0.1784547302,0.1328075921
826697838,0.0895724004,1.0000000000,0.0000000000,0.3693637408,0.0959767869,0.1055109199,0.2688028730,0.4460307669,0.1295457057,0.1556206544
800068157,0.0895724004,1.0000000000,0.0000000000,0.0823104073,0.0959767869,0.1055109199,0.4176949040,0.2209285953,0.2349072214,0.1264692793
351717517,0.0895724004,1.0000000000,0.0000000000,0.3315666515,0.0959767869,0.1055109199,0.2755480555,0.3884253997,0.1399331700,0.1960933748
126542224,0.0895724004,1.0000000000,0.0000000000,0.4658365270,0.0959767869,0.1055109199,0.2103129574,0.4555025302,0.1420885833,0.1920959291
218022839,0.0895724004,1.0000000000,0.0000000000,3521746.4791076551,0.0959767869,0.1055109199,0.4446138474,0.2054879266,0.2012556249,0.1486426011
652774192,0.0895724004,1.0000000000,0.0000000000,0.1378179652,0.0959767869,0.1055109199,0.3803969678,0.2722133891,0.2185928765,0.1287967665
932570509,0.0895724004,1.0000000000,0.0000000000,0.3556978896,0.0959767869,0.1055109199,0.2731635939,0.3590243668,0.2185325333,0.1492795060
944756512,0.0895724004,1.0000000000,0.0000000000,0.4937468892,0.0963675459,0.1055109199,0.2261459645,0.3969097253,0.2520683126,0.1248759976
562807059,0.0895724004,1.0000000000,0.0000000000,0.4596911491,0.0959767869,0.1055109199,0.2857004246,0.2602629209,0.2877007648,0.1663358897
403842296,0.0895724004,1.0000000000,0.0000000000,0.1019552101,0.0959767869,0.1055109199,0.3847859051,0.2688097072,0.2024863248,0.1439180629
203955851,0.0895724004,1.0000000000,0.0000000000,0.2980910214,0.0959767869,0.1055109199,0.3036178611,0.3774275124,0.1580018803,0.1609527462
749407992,0.0895724004,1.0000000000,0.0000000000,0.0625785465,0.0959767869,0.1055109199,0.4200013504,0.2176887077,0.2298291182,0.1324808236
