seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
873614915,0.0895724004,1.0000000000,0.0000000000,0.3455090425,0.0959767869,0.1055109199,0.2655780126,0.3045135779,0.2161833140,0.2137250956
656894747,0.0895724004,1.0000000000,0.0000000000,0.2207381711,0.0959767869,0.1055109199,0.2649546341,0.2608564509,0.1519224499,0.3222664652
780187983,0.0895724004,1.0000000000,0.0000000000,0.6325682392,0.0959767869,0.1055109199,0.2603868567,0.2011780741,0.3494590883,0.1889759809
856115378,0.0895724004,1.0000000000,0.0000000000,0.4320152601,0.0959767869,0.1055109199,0.2520881549,0.2965412393,0.2419047182,0.2094658876
6534291,0.0895724004,1.0000000000,0.0000000000,0.3115271448,0.0964681183,0.1055109199,0.2727095426,0.3746727477,0.1244463275,0.2281713822
926446179,0.0895724004,1.0000000000,0.0000000000,10768555.5824601054,0.0959767869,0.1055109199,0.4030413271,0.2166932811,0.1580915289,0.2221738629
663947352,0.0895724004,1.0000000000,0.0000000000,0.2344491118,0.0959767869,0.1055109199,0.3909581720,0.3160168818,0.1406231637,0.1524017824
270026702,0.0895724004,1.0000000000,0.0000000000,14715141.4396877810,0.0959767869,0.1055109199,0.4285779358,0.2623387057,0.1501159235,0.1589674350
312637069,0.0895724004,0.8750000000,0.0000000000,31977735.2959169075,0.0972049885,0.1055109199,0.4670435162,0.2530698269,0.1229725871,0.1569140697
278324016,0.0895724004,1.0000000000,0.0000000000,0.1914068965,0.0959767869,0.1055109199,0.3065307107,0.2584646516,0.1863355282,0.2486691094
357813305,0.0895724004,1.0000000000,0.0000000000,0.5392187560,0.0959767869,0.1055109199,0.2144126883,0.2335138047,0.2495477559,0.3025257511
967064123,0.0895724004,1.0000000000,0.0000000000,0.8658398352,0.0959767869,0.1055109199,0.2116326798,0.2221005529,0.4300936598,0.1361731074
225567857,0.0895724004,1.0000000000,0.0000000000,0.1249573620,0.0959767869,0.1055109199,0.3280028448,0.2481074406,0.1749779246,0.2489117900
211574834,0.0895724004,1.0000000000,0.0000000000,0.2970597838,0.0959767869,0.1055109199,0.3125623408,0.3780796690,0.1714963786,0.1378616116
562103064,0.0895724004,1.0000000000,0.0000000000,0.2381746297,0.0959767869,0.1055109199,0.3076049936,0.2204336161,0.2138557366,0.2581056536
696875897,0.0895724004,1.0000000000,0.0000000000,0.8176479465,0.0959767869,0.1055109199,0.2318885879,0.2097140933,0.4258181415,0.1325791773
930392209,0.0895724004,1.0000000000,0.0000000000,0.3398040554,0.0959767869,0.1055109199,0.2573995892,0.3197060449,0.2030872256,0.2198071403
789597307,0.0895724004,1.0000000000,0.0000000000,0.2875198610,0.0959767869,0.1055109199,0.2616302741,0.3064372203,0.1439984001,0.2879341055
829214698,0.0895724004,1.0000000000,0.0000000000,0.5718763885,0.0959767869,0.1055109199,0.2522804681,0.2627674941,0.3102101622,0.1747418756
310433044,0.0895724004,1.0000000000,0.0000000000,0.3325074168,0.0959767869,0.1055109199,0.2969175288,0.2490344722,0.2397823173,0.2142656816
815285995,0.0895724004,1.0000000000,0.0000000000,0.0261290954,0.0959767869,0.1055109199,0.4054929311,0.2200892402,0.2020629369,0.1723548918
667441931,0.0895724004,1.0000000000,0.0000000000,0.1750447955,0.0959767869,0.1055109199,0.3332302993,0.3049234744,0.1648590416,0.1969871846
511217908,0.0895724004,1.0000000000,0.0000000000,0.3500821844,0.0959767869,0.1055109199,0.2366614022,0.2293913684,0.1956044547,0.3383427747
740606480,0.0895724004,1.0000000000,0.0000000000,0.2729269930,0.0959767869,0.1055109199,0.3209166007,0.3593945030,0.1763693372,0.1433195590
973961686,0.0895724004,1.0000000000,0.0000000000,0.4039899206,0.0959767869,0.1055109199,0.2374549438,0.2179866687,0.2167332267,0.3278251608
780094404,0.0895724004,1.0000000000,0.0000000000,0.2652580522,0.0959767869,0.1055109199,0.2884533763,0.2328355125,0.2074842214,0.2712268898
839320657,0.0895724004,1.0000000000,0.0000000000,0.5602363898,0.0959767869,0.1055109199,0.2025530558,0.2132035537,0.2441906662,0.3400527243
861224582,0.0895724004,1.0000000000,0.0000000000,0.2037587384,0.0959767869,0.1055109199,0.3778715766,0.2045032672,0.2566663897,0.1609587665
626778147,0.0895724004,1.0000000000,0.0000000000,0.3599545504,0.0959767869,0.1055109199,0.3251515986,0.2527577813,0.2768621626,0.1452284575
250381637,0.0895724004,1.0000000000,0.0000000000,0.6421821303,0.0959767869,0.1055109199,0.2474015142,0.2572438963,0.3435595572,0.1517950324
