seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
488607811,0.0895724004,1.0000000000,0.0000000000,0.4648742249,0.0959767869,0.1055109199,0.2172898013,0.2752958857,0.2224284617,0.2849858514
244108560,0.0895724004,1.0000000000,0.0000000000,0.2079600229,0.0959767869,0.1055109199,0.3792737332,0.2106138987,0.2590606095,0.1510517585
341461395,0.0895724004,1.0000000000,0.0000000000,0.7998119705,0.0959767869,0.1055109199,0.2188456960,0.2226723328,0.3962576642,0.1622243069
686383614,0.0895724004,1.0000000000,0.0000000000,0.1523547034,0.0959767869,0.1055109199,0.2772446534,0.2418844494,0.1370875082,0.3437833890
177516610,0.0895724004,1.0000000000,0.0000000000,0.2741715816,0.0959767869,0.1055109199,0.3965302968,0.3222216155,0.1278292363,0.1534188514
787759888,0.0895724004,1.0000000000,0.0000000000,5588997.1244295733,0.0981527218,0.1055109199,0.4538678680,0.2280275307,0.1967989554,0.1213056459
145395401,0.0895724004,1.0000000000,0.0000000000,0.1196941829,0.0959767869,0.1055109199,0.3797708695,0.2987674246,0.1772220811,0.1442396247
245401253,0.0895724004,1.0000000000,0.0000000000,0.3769279440,0.0959767869,0.1055109199,0.2723465903,0.3817040647,0.2156665986,0.1302827465
61114380,0.0895724004,1.0000000000,0.0000000000,0.1281934285,0.0973912745,0.1055109199,0.3816447968,0.2911884415,0.2043382214,0.1228285404
392206478,0.0895724004,1.0000000000,0.0000000000,0.2503593754,0.0959767869,0.1055109199,0.3091460433,0.2932725482,0.2105540141,0.1870273944
825437543,0.0895724004,1.0000000000,0.0000000000,0.3903700143,0.0959767869,0.1055109199,0.2973253697,0.2452871033,0.2659943250,0.1913932020
339382881,0.0895724004,1.0000000000,0.0000000000,0.2244401634,0.0959767869,0.1055109199,0.3838762179,0.3277720761,0.1514979338,0.1368537722
247409385,0.0895724004,1.0000000000,0.0000000000,0.5039575811,0.0959767869,0.1055109199,0.2307584832,0.2742450414,0.2532350470,0.2417614284
309823071,0.0895724004,1.0000000000,0.0000000000,0.3875015222,0.0971477405,0.1055109199,0.2757571882,0.4021775597,0.1987496435,0.1233156085
878564218,0.0895724004,1.0000000000,0.0000000000,0.2929535276,0.0959767869,0.1055109199,0.3780932318,0.3370585658,0.1284215547,0.1564266477
138402552,0.0895724004,1.0000000000,0.0000000000,0.5284680026,0.0959767869,0.1055109199,0.2072864136,0.3026345340,0.2422398596,0.2478391928
64566284,0.0895724004,1.0000000000,0.0000000000,0.2973509971,0.0959767869,0.1055109199,0.2932520813,0.2991494780,0.2186977035,0.1889007372
136069555,0.0895724004,1.0000000000,0.0000000000,6944262.3298411230,0.0959767869,0.1055109199,0.3829287881,0.2203479731,0.1615816851,0.2351415538
953007423,0.0895724004,1.0000000000,0.0000000000,0.3417151728,0.0965474642,0.1055109199,0.2938977851,0.4418022241,0.1397838297,0.1245161611
262617833,0.0895724004,1.0000000000,0.0000000000,0.2457861470,0.0959767869,0.1055109199,0.3360149210,0.2513666426,0.2355144228,0.1771040136
24304727,0.0895724004,1.0000000000,0.0000000000,0.2539892694,0.0959767869,0.1055109199,0.3282500607,0.3211970131,0.2226403337,0.1279125926
236794415,0.0895724004,1.0000000000,0.0000000000,0.4769488489,0.0959767869,0.1055109199,0.2868978105,0.2541179247,0.2977294745,0.1612547904
122932415,0.0895724004,1.0000000000,0.0000000000,7184678.9936222797,0.0959767869,0.1055109199,0.3861008452,0.2704320163,0.1457708876,0.1976962508
656221014,0.0895724004,1.0000000000,0.0000000000,0.1236609582,0.0959767869,0.1055109199,0.3878582166,0.2532111869,0.2246847653,0.1342458312
201236382,0.0895724004,1.0000000000,0.0000000000,0.1187270937,0.0959767869,0.1055109199,0.3824676993,0.2802638691,0.2046086385,0.1326597930
825837655,0.0895724004,1.0000000000,0.0000000000,0.2034389917,0.0959767869,0.1055109199,0.2431456511,0.2240033818,0.1444146065,0.3884363606
926464962,0.0895724004,0.8750000000,0.0000000000,14510209.8611800969,0.0959767869,0.1055109199,0.4738321846,0.2173318528,0.1738783864,0.1349575762
305824393,0.0895724004,1.0000000000,0.0000000000,0.3122594846,0.0959767869,0.1055109199,0.2356613872,0.2692608452,0.1770762184,0.3180015492
875149228,0.0895724004,1.0000000000,0.0000000000,0.3066712419,0.0959767869,0.1055109199,0.3138518033,0.3968967661,0.1356499116,0.1536015190
758519240,0.0895724004,1.0000000000,0.0000000000,0.4296459503,0.0959767869,0.1055109199,0.2235799404,0.3976103086,0.1571834612,0.2216262898
