seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
623843591,0.0895724004,1.0000000000,0.0000000000,0.3903115088,0.0959767869,0.1055109199,0.2691707860,0.4457815499,0.1570903005,0.1279573636
107276645,0.0895724004,1.0000000000,0.0000000000,0.1805280298,0.0959767869,0.1055109199,0.2911297445,0.2434917295,0.1255099250,0.3398686010
836988771,0.0895724004,1.0000000000,0.0000000000,0.5101357593,0.0959767869,0.1055109199,0.2587276009,0.2989840813,0.2867082225,0.1555800954
455469006,0.0895724004,1.0000000000,0.0000000000,0.0703830055,0.0959767869,0.1055109199,0.3931875760,0.2661267449,0.1940512336,0.1466344455
380556986,0.0895724004,1.0000000000,0.0000000000,0.3928468299,0.0959767869,0.1055109199,0.2257462347,0.3300740769,0.1839499932,0.2602296952
659650171,0.0895724004,1.0000000000,0.0000000000,1131519.4814025180,0.0959767869,0.1055109199,0.4294237392,0.2288977077,0.2047815081,0.1368970450
33898819,0.0895724004,1.0000000000,0.0000000000,0.4557976068,0.0959767869,0.1055109199,0.2247074024,0.2861592393,0.2261391668,0.2629941916
435399521,0.0895724004,1.0000000000,0.0000000000,0.2410274645,0.0959767869,0.1055109199,0.3219697291,0.2980750003,0.2161183779,0.1638368927
581830779,0.0895724004,1.0000000000,0.0000000000,0.3135544946,0.0959767869,0.1055109199,0.3010653181,0.3923714701,0.1300343245,0.1765288873
621050422,0.0895724004,1.0000000000,0.0000000000,0.4829423053,0.0959767869,0.1055109199,0.2124178457,0.3228848996,0.2280654614,0.2366317932
437955515,0.0895724004,1.0000000000,0.0000000000,0.5410491125,0.0959767869,0.1055109199,0.2443085073,0.2675688212,0.2853616843,0.2027609872
120840649,0.0895724004,1.0000000000,0.0000000000,0.5636662644,0.0959767869,0.1055109199,0.2725073129,0.2316167975,0.3276855276,0.1681903620
203063898,0.0895724004,1.0000000000,0.0000000000,0.4566048814,0.0959767869,0.1055109199,0.2188059502,0.2258410268,0.2192335283,0.3361194947
612618419,0.0895724004,0.8750000000,0.0000000000,17323360.8690189198,0.0959767869,0.1055109199,0.4085933737,0.2157069278,0.1418060004,0.2338936982
115236251,0.0895724004,1.0000000000,0.0000000000,0.3665806107,0.0959767869,0.1055109199,0.2168830876,0.2577713209,0.1837083143,0.3416372772
746842539,0.0895724004,1.0000000000,0.0000000000,9403772.0661127716,0.0959767869,0.1055109199,0.4207464464,0.2809459300,0.1585995408,0.1397080828
643630526,0.0895724004,1.0000000000,0.0000000000,0.2275327601,0.0959767869,0.1055109199,0.3050459006,0.3076346294,0.1393405367,0.2479789333
962489083,0.0895724004,1.0000000000,0.0000000000,0.1154999539,0.0959767869,0.1055109199,0.3087653265,0.2447001800,0.1557209587,0.2908135348
43006479,0.0895724004,1.0000000000,0.0000000000,0.7378774033,0.0959767869,0.1055109199,0.2450350172,0.2211352064,0.3952952334,0.1385345430
662723778,0.0895724004,0.8750000000,0.0000000000,18609317.2256074660,0.0959767869,0.1055109199,0.4210891950,0.2380387521,0.1413086964,0.1995633564
176221891,0.0895724004,1.0000000000,0.0000000000,0.2752249084,0.0959767869,0.1055109199,0.2523472851,0.2180353591,0.1835428457,0.3460745100
576151026,0.0895724004,1.0000000000,0.0000000000,0.5821344216,0.0959767869,0.1055109199,0.2208788318,0.2670247933,0.2797548523,0.2323415225
853773464,0.0895724004,1.0000000000,0.0000000000,0.1887730432,0.0959767869,0.1055109199,0.2941615422,0.2710072086,0.1621875002,0.2726437490
650021508,0.0895724004,1.0000000000,0.0000000000,0.3592617527,0.0976651322,0.1055109199,0.2530997660,0.4038883957,0.1220522996,0.2209595387
815110490,0.0895724004,1.0000000000,0.0000000000,0.3375000974,0.0959767869,0.1055109199,0.3447732801,0.3958256867,0.1267303968,0.1326706365
393543393,0.0895724004,1.0000000000,0.0000000000,0.3764317340,0.0959767869,0.1055109199,0.2423378127,0.3911011156,0.1327157438,0.2338453279
469919066,0.0895724004,1.0000000000,0.0000000000,0.1443822805,0.0959767869,0.1055109199,0.2832125516,0.2313641687,0.1294795832,0.3559436964
541417134,0.0895724004,1.0000000000,0.0000000000,8127854.6213720357,0.0959767869,0.1055109199,0.4478734750,0.2340739316,0.1846562934,0.1333962999
331525814,0.0895724004,1.0000000000,0.0000000000,0.0779026845,0.0959767869,0.1055109199,0.3428647130,0.2249381220,0.1758056575,0.2563915074
443799930,0.0895724004,1.0000000000,0.0000000000,0.3286409389,0.0959767869,0.1055109199,0.2753371642,0.2808772878,0.2181687648,0.2256167832
