seed,objective,rho,cr_proxy,score_delta,entropy_diff,critic_diff,w_cost,w_emissions,w_reliability,w_social
902037982,0.0895724004,1.0000000000,0.0000000000,0.3135313905,0.0963471529,0.1055109199,0.3366802313,0.4014496035,0.1369533816,0.1249167836
499149236,0.0895724004,1.0000000000,0.0000000000,0.5063449280,0.0959767869,0.1055109199,0.2043844223,0.3850532631,0.2340276669,0.1765346476
591595848,0.0895724004,1.0000000000,0.0000000000,0.2803556435,0.0959767869,0.1055109199,0.2717174402,0.3339377793,0.1268019065,0.2675428741
452340631,0.0895724004,0.8750000000,0.0000000000,41666666.9909072146,0.0960464550,0.1055109199,0.5160415398,0.2320102631,0.1264300177,0.1255181794
647734416,0.0895724004,1.0000000000,0.0000000000,0.4776647808,0.0959767869,0.1055109199,0.2781941936,0.2246806233,0.2892687669,0.2078564162
484427562,0.0895724004,1.0000000000,0.0000000000,0.3583872576,0.0959767869,0.1055109199,0.2570411390,0.4002019459,0.1303902659,0.2123666492
13828912,0.0895724004,1.0000000000,0.0000000000,0.5222542719,0.0959767869,0.1055109199,0.2015975319,0.4261639497,0.2271819909,0.1450565275
135639054,0.0895724004,1.0000000000,0.0000000000,0.4512295580,0.0959767869,0.1055109199,0.2710370111,0.2889484914,0.2690503083,0.1709641893
251367398,0.0895724004,1.0000000000,0.0000000000,0.3278472020,0.0959767869,0.1055109199,0.2318313690,0.2910827437,0.1477522114,0.3293336759
510496735,0.0895724004,1.0000000000,0.0000000000,0.3341269324,0.0959767869,0.1055109199,0.3117251163,0.2848030724,0.2510756543,0.1523961570
307791225,0.0895724004,1.0000000000,0.0000000000,0.4351086766,0.0959767869,0.1055109199,0.2329734100,0.4433642696,0.1518615163,0.1718008040
375343844,0.0895724004,1.0000000000,0.0000000000,0.4554565917,0.0959767869,0.1055109199,0.2715123491,0.2598921584,0.2713574797,0.1972380127
282116516,0.0895724004,1.0000000000,0.0000000000,0.2628771532,0.0959767869,0.1055109199,0.3512717433,0.3177321444,0.1323039716,0.1986921406
426972724,0.0895724004,1.0000000000,0.0000000000,6663612.7284767739,0.0959767869,0.1055109199,0.3445396301,0.2088540921,0.1461956901,0.3004105877
735083531,0.0895724004,1.0000000000,0.0000000000,0.2904278086,0.0959767869,0.1055109199,0.3412251316,0.2351092206,0.2605276012,0.1631380466
767003914,0.0895724004,1.0000000000,0.0000000000,0.4967206524,0.0959767869,0.1055109199,0.2481420290,0.2641680565,0.2674144155,0.2202754990
675556819,0.0895724004,1.0000000000,0.0000000000,0.3839025312,0.0959767869,0.1055109199,0.2367089500,0.2093669565,0.2087523896,0.3451717038
503467607,0.0895724004,1.0000000000,0.0000000000,0.2395373750,0.0959767869,0.1055109199,0.2992755644,0.3218117926,0.1435918099,0.2353208330
49232142,0.0895724004,0.8750000000,0.0000000000,16531886.4449591003,0.0976713263,0.1055109199,0.4177821026,0.2672561471,0.1220399115,0.1929218389
21845631,0.0895724004,1.0000000000,0.0000000000,0.5879962795,0.0959767869,0.1055109199,0.2249025592,0.2411907881,0.2849981770,0.2489084757
744808909,0.0895724004,1.0000000000,0.0000000000,0.3833670490,0.0959767869,0.1055109199,0.2618413302,0.3968275294,0.1715045996,0.1698265408
402048850,0.0895724004,1.0000000000,0.0000000000,0.2600575580,0.0959767869,0.1055109199,0.2758465164,0.3022859412,0.1459057273,0.2759618152
897869879,0.0895724004,1.0000000000,0.0000000000,0.4673557277,0.0959767869,0.1055109199,0.2655017837,0.3101404619,0.2721080848,0.1522496696
893915440,0.0895724004,1.0000000000,0.0000000000,0.1608732730,0.0959767869,0.1055109199,0.3277577301,0.2504675311,0.1934119514,0.2283627874
636670323,0.0895724004,1.0000000000,0.0000000000,0.1994392218,0.0959767869,0.1055109199,0.2431370345,0.2157140184,0.1463933331,0.3947556140
460152731,0.0895724004,1.0000000000,0.0000000000,0.3530920308,0.0959767869,0.1055109199,0.2728778017,0.2787866755,0.2262721422,0.2220633806
155135743,0.0895724004,1.0000000000,0.0000000000,6761948.0213889275,0.0959767869,0.1055109199,0.3571305449,0.2519614481,0.1352762125,0.2556317945
534101025,0.0895724004,1.0000000000,0.0000000000,0.3140271949,0.0959767869,0.1055109199,0.3078734301,0.4271947731,0.1382630144,0.1266687824
8803690,0.0895724004,1.0000000000,0.0000000000,0.1433717349,0.0959767869,0.1055109199,0.3565009725,0.2980382683,0.1878087098,0.1576520493
106502838,0.0895724004,1.0000000000,0.0000000000,294518.1548154079,0.0959767869,0.1055109199,0.2999526886,0.2337048591,0.1366986782,0.3296437741
