algorithm,config,objective,rho,cr,score_delta,entropy_diff,critic_diff,merec_diff,lopcow_diff,mean_diff,bayes_diff,seed,w_cost,w_emissions,w_reliability,w_social,objective_mean,objective_std,p_value_vs_baseline,significant_vs_baseline,better_than_baseline
ABC,abc_1,0.0895724004,1.0000000000,0.0000000000,13711273.4575980809,0.0959767869,0.1055109199,0.0895724004,0.1670917224,0.1104225479,0.0089743078,675831337,0.4672567440,0.2225870626,0.1738584321,0.1362977614,0.0895724004,0.0000000000,0.0000000000,True,True
ABC,abc_2,0.0895724004,0.8750000000,0.0000000000,19860770.1410252638,0.0959767869,0.1055109199,0.0895724004,0.1623917493,0.1071428571,0.0081103516,465119199,0.4578567978,0.2282410195,0.1491854900,0.1647166927,0.0895724004,0.0000000000,0.0000000000,True,True
ABC,abc_3,0.0895724004,1.0000000000,0.0000000000,0.3939744335,0.0959767869,0.1055109199,0.0895724004,0.1845920852,0.1196671927,0.1267709688,286318312,0.2633018157,0.4760325696,0.1308447574,0.1298208573,0.0895724004,0.0000000000,0.0000000000,True,True
ABC,abc_4,0.0895724004,1.0000000000,0.0000000000,1982266.0890100903,0.0959767869,0.1055109199,0.0895724004,0.1525322761,0.1119989596,0.0228911497,681654051,0.4381378515,0.2236853009,0.2050319097,0.1331449380,0.0895724004,0.0000000000,0.0000000000,True,True
ABC,abc_5,0.0895724004,0.8750000000,0.0000000000,18563331.0913125500,0.0959767869,0.1055109199,0.0895724004,0.1795421149,0.1146172224,0.0290715095,943942816,0.4486007937,0.2806336511,0.1354545164,0.1353110388,0.0895724004,0.0000000000,0.0000000000,True,True
ABC,abc_6,0.0895724004,0.8750000000,0.0000000000,19517694.2095864303,0.0959767869,0.1055109199,0.0895724004,0.1775083931,0.1131412626,0.0126356867,801959002,0.4880900854,0.2207698429,0.1602797398,0.1308603319,0.0895724004,0.0000000000,0.0000000000,True,True
ABC,abc_7,0.0895724004,0.8750000000,0.0000000000,23021065.7822329700,0.0959767869,0.1055109199,0.0895724004,0.1580888616,0.1104332384,0.0207773892,87976068,0.4454318322,0.2408961061,0.1362763803,0.1773956814,0.0895724004,0.0000000000,0.0000000000,True,True
ABC,abc_8,0.0895724004,1.0000000000,0.0000000000,0.0865484439,0.0959767869,0.1055109199,0.0895724004,0.1544039104,0.1142957038,0.0482046037,379741612,0.3921044319,0.2868536040,0.1924905146,0.1285514495,0.0895724004,0.0000000000,0.0000000000,True,True
HC_SA_PSO,kiz_hc_1,0.0895724004,1.0000000000,0.0000000000,0.0850735136,0.0959767869,0.1055109199,0.0895724004,0.1441790510,0.1108154765,0.0426524536,423814265,0.3962482775,0.2622600397,0.2059797787,0.1355119042,0.0895724004,0.0000000000,0.0000000000,True,True
HC_SA_PSO,kiz_hc_2,0.0895724004,1.0000000000,0.0000000000,0.1249573620,0.0959767869,0.1055109199,0.0895724004,0.1029800352,0.1071428571,0.0674079336,225567857,0.3280028448,0.2481074406,0.1749779246,0.2489117900,0.0895724004,0.0000000000,0.0000000000,True,True
HC_SA_PSO,kiz_hc_3,0.0895724004,1.0000000000,0.0000000000,0.4425840393,0.0959767869,0.1055109199,0.0895724004,0.1257684799,0.1071428571,0.1161237825,775368272,0.2305711470,0.3911160277,0.1919822298,0.1863305954,0.0895724004,0.0000000000,0.0000000000,True,True
HC_SA_PSO,kiz_sa_1,0.0895724004,1.0000000000,0.0000000000,0.4025076109,0.0959767869,0.1055109199,0.0895724004,0.1252324766,0.1071428571,0.1232919379,133485940,0.2315211748,0.3890939934,0.1451579403,0.2342268916,0.0895724004,0.0000000000,0.0000000000,True,True
HC_SA_PSO,kiz_sa_2,0.0895724004,1.0000000000,0.0000000000,0.3556851300,0.0972060538,0.1055109199,0.0895724004,0.1906109065,0.1256860140,0.1115205050,274843589,0.3058403860,0.4455316420,0.1241192632,0.1245087088,0.0895724004,0.0000000000,0.0000000000,True,True
HC_SA_PSO,kiz_sa_3,0.0895724004,1.0000000000,0.0000000000,0.0703830055,0.0959767869,0.1055109199,0.0895724004,0.1445820529,0.1071428571,0.0386215337,455469006,0.3931875760,0.2661267449,0.1940512336,0.1466344455,0.0895724004,0.0000000000,0.0000000000,True,True
