algorithm,config,objective,rho,cr,seed,w_cost,w_emissions,w_reliability,w_social,objective_mean,objective_std,p_value_vs_baseline,significant_vs_baseline,better_than_baseline
ABC,abc_1,0.0000000000,1.0000000000,0.0000000000,241528207,0.0274748174,0.6807110095,0.0731062334,0.2187079397,0.0000000000,0.0000000000,0.0000000000,True,True
ABC,abc_2,0.0000000000,1.0000000000,0.0000000000,465119199,0.4998924510,0.1374043883,0.2287856706,0.1339174901,0.0000000000,0.0000000000,0.0000000000,True,True
ABC,abc_3,0.0000000000,1.0000000000,0.0000000000,969604544,0.0282569426,0.2349743733,0.6696094587,0.0671592254,0.0000000000,0.0000000000,0.0000000000,True,True
ABC,abc_4,0.0000000000,1.0000000000,0.0000000000,458517706,0.0873373338,0.3104289496,0.4860166650,0.1162170516,0.0000000000,0.0000000000,0.0000000000,True,True
ABC,abc_5,0.0000000000,1.0000000000,0.0000000000,943942816,0.0639816855,0.0276966221,0.4002130663,0.5081086262,0.0000000000,0.0000000000,0.0000000000,True,True
ABC,abc_6,0.0000000000,1.0000000000,0.0000000000,801959002,0.2572026006,0.2651607739,0.1386629703,0.3389736552,0.0000000000,0.0000000000,0.0000000000,True,True
ABC,abc_7,0.0000000000,1.0000000000,0.0000000000,11697151,0.0293593431,0.0088887360,0.4119085601,0.5498433608,0.0000000000,0.0000000000,0.0000000000,True,True
ABC,abc_8,0.0000000000,1.0000000000,0.0000000000,16154028,0.5073481670,0.3954838244,0.0189198248,0.0782481838,0.0000000000,0.0000000000,0.0000000000,True,True
HC_SA_PSO,kiz_hc_1,0.0000000000,1.0000000000,0.0000000000,423814265,0.6987500531,0.1413146388,0.0513214477,0.1086138604,0.0000000000,0.0000000000,0.0000000000,True,True
HC_SA_PSO,kiz_hc_2,0.0000000000,1.0000000000,0.0000000000,873614915,0.0397828296,0.3836197382,0.3702122892,0.2063851430,0.0000000000,0.0000000000,0.0000000000,True,True
HC_SA_PSO,kiz_hc_3,0.0000000000,1.0000000000,0.0000000000,889143888,0.2757122574,0.2970037255,0.3263310678,0.1009529493,0.0000000000,0.0000000000,0.0000000000,True,True
HC_SA_PSO,kiz_sa_1,0.0000000000,1.0000000000,0.0000000000,194750415,0.0100299283,0.7394502042,0.1040116489,0.1465082186,0.0000000000,0.0000000000,0.0000000000,True,True
HC_SA_PSO,kiz_sa_2,0.0000000000,1.0000000000,0.0000000000,987334396,0.4163872439,0.1169036849,0.4018172394,0.0648918319,0.0000000000,0.0000000000,0.0000000000,True,True
HC_SA_PSO,kiz_sa_3,0.0000000000,1.0000000000,0.0000000000,623843591,0.5320425470,0.1321761800,0.0768169886,0.2589642844,0.0000000000,0.0000000000,0.0000000000,True,True
HC_SA_PSO,kiz_pso_1,0.0000000000,1.0000000000,0.0000000000,255396303,0.1280336231,0.6519566158,0.1627324767,0.0572772844,0.0000000000,0.0000000000,0.0000000000,True,True
HC_SA_PSO,kiz_pso_2,0.0000000000,1.0000000000,0.0000000000,488607811,0.7355008089,0.1385378346,0.0174199621,0.1085413944,0.0000000000,0.0000000000,0.0000000000,True,True
PSO_SA,pso_sa_1,0.0000000000,1.0000000000,0.0000000000,693247024,0.4990563359,0.1095063884,0.3704115791,0.0210256967,0.0000000000,0.0000000000,0.0000000000,True,True
PSO_SA,pso_sa_2,0.0000000000,1.0000000000,0.0000000000,588573862,0.4058683896,0.1183612086,0.2091189423,0.2666514594,0.0000000000,0.0000000000,0.0000000000,True,True
PSO_SA,pso_sa_3,0.0000000000,1.0000000000,0.0000000000,408982734,0.0987925520,0.2420137081,0.1497244586,0.5094692813,0.0000000000,0.0000000000,0.0000000000,True,True
PSO_SA,pso_sa_4,0.0000000000,1.0000000000,0.0000000000,902037982,0.4559291390,0.1137216665,0.1793104145,0.2510387801,0.0000000000,0.0000000000,0.0000000000,True,True
PSO_SA,pso_sa_5,0.0000000000,1.0000000000,0.0000000000,569388250,0.2364885247,0.2141741015,0.0588469370,0.4904904369,0.0000000000,0.0000000000,0.0000000000,True,True
PSO_SA,pso_sa_6,0.0000000000,1.0000000000,0.0000000000,157835723,0.2801041238,0.1211225481,0.5818964284,0.0168768998,0.0000000000,0.0000000000,0.0000000000,True,True
PSO_SA,pso_sa_7,0.0000000000,1.0000000000,0.0000000000,99628377,0.1667804667,0.0316027576,0.0126307069,0.7889860689,0.0000000000,0.0000000000,0.0000000000,True,True
PSO_SA,pso_sa_8,0.0000000000,1.0000000000,0.0000000000,518441736,0.4360644546,0.0148916592,0.4232373171,0.1258065690,0.0000000000,0.0000000000,0.0000000000,True,True
